reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2033,1.957669671,2023,94,82,7.1.1,2015,89.25283861
,0.350877193,2024,29.4,28.8,8.5.1,2015,30.55263158
2060,0.722287559,2024,46.3,17.6,17.8.1,2015,55.73717866
,0.8148703746,2024,60.4,48.2,17.18.1,2016,63.07525887
,,2022,3.9,,10.1.1,,
2021,3.161107174,2025,1.54,5.3,1.1.1,2015,3.525
,2.666666667,2023,11.2,10.2,4.1.2,2015,10.63333333
,1.690624412,2023,70.4,67.4,43.0.0,2015,69.26307246
,-0.40625,2023,77,78.3,45.0.0,2015,80.9
,,2024,0.3341276401,,42.0.0,,
2083,1.863946124,2024,78.5,64,61.1.0,2015,72.73033774
,-2.047514886,2024,16.5,25.5,61.2.0,2015,29.84928477
2154,2.016534392,2024,81.6,78.9,61.3.0,2015,80.25625
,6.9,2022,0.379,0.186,47.0.0,2015,0.207
