reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2001,,2023,2.5,,2.1.1,,
2000,,2024,99.82295068,,6.1.1,,
1990,,2023,100,,7.1.1,,
2021,0.8869047619,2023,96.3,92,17.8.1,2015,96.66190476
,0.7452651515,2024,88.4,82.1,17.18.1,2016,90.06363636
1963,,2023,4.5,4.5,3.2.1,2015,3.7
1971,,2023,2.7,2.6,3.2.2,2015,1.9
1950,,2025,0.5,0.3,1.1.1,2015,0.23
,,2025,12.82091999,,4.1.2,,
,0.8896956661,2022,47682.6,44983.8,8.1.1,2015,48017.531
,,2021,0.9,,10.1.1,,
,0.25,2023,81.3,80.9,43.0.0,2015,82.5
,0.25,2023,91.7,91.5,45.0.0,2015,92.3
