reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
,0,2022,3.2,3.2,2.1.1,2015,3.06
,0.6067299276,2021,67,63,3.8.1,2015,69.33715846
,,2021,93.62583923,,4.1.2,,
,1.071169208,2024,30.5,28.8,8.5.1,2015,30.38470588
,-0.8977113573,2022,74.3,76.4,6.1.1,2015,78.58850806
2004,,2023,100,99.9,7.1.1,2015,99.98
2040,1.02900195,2023,72.4,46.5,17.8.1,2015,71.85438565
,0.9780162116,2023,75.8,62.1,17.18.1,2016,76.0771174
2011,,2025,0.6,0.8,1.1.1,2015,0.5866666667
,-0.05611433885,2022,3983.4,4015.2,8.1.1,2015,4624.401697
2230,0.2777777778,2021,2.5,2.6,10.1.1,2015,2.24
