reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2001,,2023,2.5,,2.1.1,,
,0.1666666667,2024,82.2,81.9,6.1.1,2015,83.7
2016,,2023,100,,7.1.1,,
2027,1.986011568,2024,91.3,55.8,17.8.1,2015,79.09840898
,2.128900035,2023,88.6,72.5,17.18.1,2017,81.33422619
1998,,2023,6.6,9.2,3.2.1,2015,7.166666667
1998,,2023,3.3,4.3,3.2.2,2015,3.5
2020,7.516829507,2025,0.6,7.6,1.1.1,2015,5.462562917
,-3.479166667,2023,10.7,11.7,4.1.2,2015,11.86
,2.307627903,2022,12114.6,8977.2,8.1.1,2015,10240.43251
,,2023,1.3,,10.1.1,,
,0.75,2023,75.9,74.7,43.0.0,2015,76.3
,1.375,2023,87.1,84.9,45.0.0,2015,86.5
