iso3c,year,protarea
WLD,2013,15
WLD,2014,15.2
WLD,2015,15
WLD,2016,14.9
WLD,2017,15.1
WLD,2018,15
WLD,2019,15.1
WLD,2020,15.4
WLD,2021,15.8
WLD,2022,15.9
WLD,2023,16.1
WLD,2024,16.4
