iso3c,year,value
AFG,2021,41
AGO,2021,37
ALB,2021,64
AND,2021,79
ARE,2021,82
ARG,2021,79
ARM,2021,68
ATG,2021,76
AUS,2021,87
AUT,2021,85
AZE,2021,66
BDI,2021,41
BEL,2021,86
BEN,2021,38
BFA,2021,40
BGD,2021,52
BGR,2021,73
BHR,2021,76
BHS,2021,77
BIH,2021,66
BLR,2021,79
BLZ,2021,68
BOL,2021,65
BRA,2021,80
BRB,2021,77
BRN,2021,78
BTN,2021,60
BWA,2021,55
CAF,2021,32
CAN,2021,91
CHE,2021,86
CHL,2021,82
CHN,2021,81
CIV,2021,43
CMR,2021,44
COD,2021,42
COG,2021,41
COL,2021,80
COM,2021,48
CPV,2021,71
CRI,2021,81
CUB,2021,83
CYP,2021,81
CZE,2021,84
DEU,2021,88
DJI,2021,44
DMA,2021,49
DNK,2021,82
DOM,2021,77
DZA,2021,74
ECU,2021,77
EGY,2021,70
ERI,2021,45
ESP,2021,85
EST,2021,79
ETH,2021,35
FIN,2021,86
FJI,2021,58
FRA,2021,85
FSM,2021,48
GAB,2021,49
GBR,2021,88
GEO,2021,68
GHA,2021,48
GIN,2021,40
GMB,2021,46
GNB,2021,37
GNQ,2021,46
GRC,2021,77
GRD,2021,70
GTM,2021,59
GUY,2021,76
HND,2021,64
HRV,2021,80
HTI,2021,54
HUN,2021,79
IDN,2021,55
IND,2021,63
IRL,2021,83
IRN,2021,74
IRQ,2021,59
ISL,2021,89
ISR,2021,85
ITA,2021,84
JAM,2021,74
JOR,2021,65
JPN,2021,83
KAZ,2021,80
KEN,2021,53
KGZ,2021,69
KHM,2021,58
KIR,2021,48
KNA,2021,79
KOR,2021,89
KWT,2021,78
LAO,2021,52
LBN,2021,73
LBR,2021,45
LBY,2021,62
LCA,2021,77
LKA,2021,67
LSO,2021,53
LTU,2021,75
LUX,2021,83
LVA,2021,75
MAR,2021,69
MCO,2021,86
MDA,2021,71
MDG,2021,35
MDV,2021,61
MEX,2021,75
MHL,2021,59
MKD,2021,74
MLI,2021,41
MLT,2021,85
MMR,2021,52
MNE,2021,72
MNG,2021,65
MOZ,2021,44
MRT,2021,40
MUS,2021,66
MWI,2021,48
MYS,2021,76
NAM,2021,63
NER,2021,35
NGA,2021,38
NIC,2021,70
NLD,2021,85
NOR,2021,87
NPL,2021,54
NRU,2021,60
NZL,2021,85
OMN,2021,70
PAK,2021,45
PAN,2021,78
PER,2021,71
PHL,2021,58
PLW,2021,65
PNG,2021,30
POL,2021,82
PRK,2021,68
PRT,2021,88
PRY,2021,72
QAT,2021,76
ROU,2021,78
RUS,2021,79
RWA,2021,49
SAU,2021,74
SDN,2021,44
SEN,2021,50
SGP,2021,89
SLB,2021,47
SLE,2021,41
SLV,2021,78
SMR,2021,77
SOM,2021,27
SRB,2021,72
SSD,2021,34
STP,2021,59
SUR,2021,63
SVK,2021,82
SVN,2021,84
SWE,2021,85
SWZ,2021,56
SYC,2021,75
SYR,2021,64
TCD,2021,29
TGO,2021,44
THA,2021,82
TJK,2021,67
TKM,2021,75
TLS,2021,52
TON,2021,57
TTO,2021,75
TUN,2021,67
TUR,2021,76
TUV,2021,52
TZA,2021,43
UGA,2021,49
UKR,2021,76
URY,2021,82
USA,2021,86
UZB,2021,75
VCT,2021,69
VEN,2021,75
VNM,2021,68
VUT,2021,47
WSM,2021,55
YEM,2021,42
ZAF,2021,71
ZMB,2021,56
ZWE,2021,55
