iso3c,year,value,group
WLD,2000,54,UHC_INDEX_REPORTED
WLD,2000,68,UHC_SCI_RMNCH
WLD,2000,44,UHC_SCI_INFECT
WLD,2000,45,UHC_SCI_NCD
WLD,2000,45,UHC_SCI_CAPACITY
WLD,2001,54,UHC_INDEX_REPORTED
WLD,2001,68,UHC_SCI_RMNCH
WLD,2001,43,UHC_SCI_INFECT
WLD,2001,46,UHC_SCI_NCD
WLD,2001,46,UHC_SCI_CAPACITY
WLD,2002,55,UHC_INDEX_REPORTED
WLD,2002,68,UHC_SCI_RMNCH
WLD,2002,42,UHC_SCI_INFECT
WLD,2002,47,UHC_SCI_NCD
WLD,2002,47,UHC_SCI_CAPACITY
WLD,2003,55,UHC_INDEX_REPORTED
WLD,2003,69,UHC_SCI_RMNCH
WLD,2003,43,UHC_SCI_INFECT
WLD,2003,48,UHC_SCI_NCD
WLD,2003,48,UHC_SCI_CAPACITY
WLD,2004,56,UHC_INDEX_REPORTED
WLD,2004,69,UHC_SCI_RMNCH
WLD,2004,44,UHC_SCI_INFECT
WLD,2004,49,UHC_SCI_NCD
WLD,2004,49,UHC_SCI_CAPACITY
WLD,2005,57,UHC_INDEX_REPORTED
WLD,2005,70,UHC_SCI_RMNCH
WLD,2005,47,UHC_SCI_INFECT
WLD,2005,50,UHC_SCI_NCD
WLD,2005,50,UHC_SCI_CAPACITY
WLD,2006,59,UHC_INDEX_REPORTED
WLD,2006,70,UHC_SCI_RMNCH
WLD,2006,51,UHC_SCI_INFECT
WLD,2006,51,UHC_SCI_NCD
WLD,2006,51,UHC_SCI_CAPACITY
WLD,2007,60,UHC_INDEX_REPORTED
WLD,2007,71,UHC_SCI_RMNCH
WLD,2007,53,UHC_SCI_INFECT
WLD,2007,52,UHC_SCI_NCD
WLD,2007,52,UHC_SCI_CAPACITY
WLD,2008,61,UHC_INDEX_REPORTED
WLD,2008,71,UHC_SCI_RMNCH
WLD,2008,55,UHC_SCI_INFECT
WLD,2008,53,UHC_SCI_NCD
WLD,2008,53,UHC_SCI_CAPACITY
WLD,2009,62,UHC_INDEX_REPORTED
WLD,2009,72,UHC_SCI_RMNCH
WLD,2009,57,UHC_SCI_INFECT
WLD,2009,54,UHC_SCI_NCD
WLD,2009,54,UHC_SCI_CAPACITY
WLD,2010,63,UHC_INDEX_REPORTED
WLD,2010,72,UHC_SCI_RMNCH
WLD,2010,60,UHC_SCI_INFECT
WLD,2010,55,UHC_SCI_NCD
WLD,2010,55,UHC_SCI_CAPACITY
WLD,2011,64,UHC_INDEX_REPORTED
WLD,2011,73,UHC_SCI_RMNCH
WLD,2011,62,UHC_SCI_INFECT
WLD,2011,56,UHC_SCI_NCD
WLD,2011,56,UHC_SCI_CAPACITY
WLD,2012,65,UHC_INDEX_REPORTED
WLD,2012,73,UHC_SCI_RMNCH
WLD,2012,64,UHC_SCI_INFECT
WLD,2012,56,UHC_SCI_NCD
WLD,2012,56,UHC_SCI_CAPACITY
WLD,2013,66,UHC_INDEX_REPORTED
WLD,2013,73,UHC_SCI_RMNCH
WLD,2013,65,UHC_SCI_INFECT
WLD,2013,57,UHC_SCI_NCD
WLD,2013,57,UHC_SCI_CAPACITY
WLD,2014,67,UHC_INDEX_REPORTED
WLD,2014,73,UHC_SCI_RMNCH
WLD,2014,66,UHC_SCI_INFECT
WLD,2014,57,UHC_SCI_NCD
WLD,2014,57,UHC_SCI_CAPACITY
WLD,2015,68,UHC_INDEX_REPORTED
WLD,2015,73,UHC_SCI_RMNCH
WLD,2015,68,UHC_SCI_INFECT
WLD,2015,58,UHC_SCI_NCD
WLD,2015,58,UHC_SCI_CAPACITY
WLD,2016,69,UHC_INDEX_REPORTED
WLD,2016,73,UHC_SCI_RMNCH
WLD,2016,69,UHC_SCI_INFECT
WLD,2016,59,UHC_SCI_NCD
WLD,2016,59,UHC_SCI_CAPACITY
WLD,2017,69,UHC_INDEX_REPORTED
WLD,2017,73,UHC_SCI_RMNCH
WLD,2017,71,UHC_SCI_INFECT
WLD,2017,59,UHC_SCI_NCD
WLD,2017,59,UHC_SCI_CAPACITY
WLD,2018,69,UHC_INDEX_REPORTED
WLD,2018,73,UHC_SCI_RMNCH
WLD,2018,72,UHC_SCI_INFECT
WLD,2018,60,UHC_SCI_NCD
WLD,2018,60,UHC_SCI_CAPACITY
WLD,2019,70,UHC_INDEX_REPORTED
WLD,2019,73,UHC_SCI_RMNCH
WLD,2019,73,UHC_SCI_INFECT
WLD,2019,60,UHC_SCI_NCD
WLD,2019,60,UHC_SCI_CAPACITY
WLD,2020,70,UHC_INDEX_REPORTED
WLD,2020,73,UHC_SCI_RMNCH
WLD,2020,74,UHC_SCI_INFECT
WLD,2020,60,UHC_SCI_NCD
WLD,2020,60,UHC_SCI_CAPACITY
WLD,2021,70,UHC_INDEX_REPORTED
WLD,2021,72,UHC_SCI_RMNCH
WLD,2021,74,UHC_SCI_INFECT
WLD,2021,61,UHC_SCI_NCD
WLD,2021,61,UHC_SCI_CAPACITY
WLD,2022,71,UHC_INDEX_REPORTED
WLD,2022,72,UHC_SCI_RMNCH
WLD,2022,75,UHC_SCI_INFECT
WLD,2022,61,UHC_SCI_NCD
WLD,2022,61,UHC_SCI_CAPACITY
WLD,2023,71,UHC_INDEX_REPORTED
WLD,2023,72,UHC_SCI_RMNCH
WLD,2023,76,UHC_SCI_INFECT
WLD,2023,61,UHC_SCI_NCD
WLD,2023,61,UHC_SCI_CAPACITY
