income,date,group,value
lic,2024,fin22d,31.20457986
lmc,2024,fin22d,24.10739418
umc,2024,fin22d,12.90824975
lmy,2024,fin22d,19.377131
lic,2024,fin45c,29.17507387
lmc,2024,fin45c,19.16458453
umc,2024,fin45c,33.06290372
lmy,2024,fin45c,26.15747326
