iso3c,mmr,nmr
AFG,521,34.3
AGO,183,25.6
ALB,7,6.9
AND,11,1.3
ARE,3,2.5
ARG,33,5
ARM,19,5.3
ATG,35,5.4
AUS,2,2.3
AUT,6,2
AZE,18,12.8
BDI,392,19.6
BEL,4,2.1
BEN,518,28
BFA,242,24.5
BGD,115,17.9
BGR,6,2.6
BHR,17,4.4
BHS,76,9.2
BIH,6,4.5
BLR,1,0.8
BLZ,67,9.3
BOL,146,12.2
BRA,67,7.6
BRB,35,6.9
BRN,36,4.9
BTN,47,12.7
BWA,155,20.9
CAF,692,30.7
CAN,12,3.4
CHE,5,2.8
CHL,10,4.6
CHN,16,2.8
CIV,359,28.2
CMR,258,25.2
COD,427,25.3
COG,241,17.7
COL,59,6.5
COM,179,22.5
CPV,40,8.3
CRI,24,7.2
CUB,35,4.2
CYP,14,1.9
CZE,3,1.3
DEU,4,2.3
DJI,162,28.2
DMA,36,30.8
DNK,4,1.8
DOM,124,21.7
DZA,62,15.3
ECU,55,7.1
EGY,17,9.3
ERI,291,16.4
ESP,3,1.7
EST,5,1
ETH,195,27.4
FIN,8,1.3
FJI,30,14.9
FRA,7,2.7
FSM,129,12.1
GAB,233,16.8
GBR,8,2.7
GEO,20,5.3
GHA,234,21.2
GIN,494,30.3
GMB,354,23.7
GNB,505,32.7
GNQ,174,27.2
GRC,5,2.3
GRD,48,12.4
GTM,94,10
GUY,75,15.6
HND,47,8.8
HRV,3,2.8
HTI,328,23.3
HUN,12,2.1
IDN,140,10.5
IND,80,17.3
IRL,4,2.5
IRN,16,7.4
IRQ,66,12.9
ISL,3,1.3
ISR,2,1.7
ITA,6,1.6
JAM,130,14.5
JOR,31,7.6
JPN,3,0.8
KAZ,10,4.3
KEN,149,21.5
KGZ,42,10.8
KHM,137,11.8
KIR,80,22.4
KNA,74,10.3
KOR,4,1.2
KWT,8,4.8
LAO,112,20
LBN,15,11.1
LBR,628,29.6
LBY,59,5.7
LCA,44,10
LKA,18,4.1
LSO,478,28.7
LTU,8,1.9
LUX,11,1.6
LVA,19,1.5
MAR,70,10.2
MCO,5,1.5
MDA,19,10.8
MDG,445,23.8
MDV,32,3.9
MEX,42,7.6
MHL,155,13
MKD,3,1.4
MLI,367,32.4
MLT,8,3.7
MMR,185,20.6
MNE,6,1
MNG,41,7.4
MOZ,99,25.4
MRT,381,21.5
MUS,66,9
MWI,225,18.8
MYS,26,4.1
NAM,139,24.1
NER,350,33.8
NGA,993,33.7
NIC,60,8.4
NLD,4,2.6
NOR,1,1.3
NPL,142,16.6
NRU,273,4.8
NZL,7,2.7
OMN,13,4.7
PAK,155,37.6
PAN,37,6.6
PER,51,7.8
PHL,84,14
PLW,89,11.7
PNG,189,20.5
POL,2,2.4
PRI,11,
PRK,67,9.6
PRT,15,1.6
PRY,58,9.1
PSE,16,8.7
QAT,4,3.7
ROU,12,3.3
RUS,9,1.7
RWA,229,18.1
SAU,7,3
SDN,256,24.8
SEN,237,22.3
SGP,6,0.9
SLB,123,8.3
SLE,354,29.3
SLV,39,4.4
SMR,8,0.6
SOM,563,34.9
SRB,11,3.2
SSD,692,40.2
STP,75,6.8
SUR,84,9.9
SVK,4,3
SVN,3,1.3
SWE,4,1.4
SWZ,118,24.5
SYC,42,8.5
SYR,20,10
TCD,748,31.4
TGO,349,23.1
THA,34,5.2
TJK,14,12.6
TKM,5,22.8
TLS,192,22.2
TON,67,4.3
TTO,54,12.9
TUN,36,8.4
TUR,15,4.9
TUV,170,9
TZA,276,20.6
UGA,170,17.9
UKR,15,4.7
URY,15,4.1
USA,17,3.4
UZB,26,7.6
VCT,56,5.8
VEN,227,15
VNM,48,10.3
VUT,100,8.7
WSM,101,6.2
YEM,118,21.4
ZAF,118,11.7
ZMB,85,22
ZWE,358,22.4
