Sex,Education,Year,Value
Male,Aggregate levels: Total,2024,72
Male,Aggregate levels: Less than basic,2024,42.2
Male,Aggregate levels: Basic,2024,65.6
Male,Aggregate levels: Intermediate,2024,77.3
Male,Aggregate levels: Advanced,2024,85.9
Female,Aggregate levels: Total,2024,36.8
Female,Aggregate levels: Less than basic,2024,16.7
Female,Aggregate levels: Basic,2024,28.5
Female,Aggregate levels: Intermediate,2024,40.4
Female,Aggregate levels: Advanced,2024,68.7
