Year,Turkiye,World
1960,6.38,4.69
1961,6.42,4.56
1962,6.38,5.02
1963,6.34,5.31
1964,6.29,5.13
1965,6.22,5.08
1966,6.15,4.97
1967,6.06,4.87
1968,5.96,4.98
1969,5.87,4.88
1970,5.78,4.84
1971,5.67,4.69
1972,5.55,4.55
1973,5.41,4.42
1974,5.24,4.26
1975,5.09,4.07
1976,4.93,3.97
1977,4.78,3.84
1978,4.69,3.77
1979,4.58,3.76
1980,4.45,3.73
1981,4.35,3.71
1982,4.21,3.72
1983,4.06,3.59
1984,3.91,3.57
1985,3.78,3.53
1986,3.66,3.51
1987,3.54,3.48
1988,3.45,3.39
1989,3.34,3.35
1990,3.11,3.31
1991,3,3.13
1992,2.94,3.04
1993,2.92,2.97
1994,2.87,2.92
1995,2.84,2.87
1996,2.78,2.82
1997,2.74,2.78
1998,2.71,2.75
1999,2.63,2.72
2000,2.49,2.73
2001,2.39,2.69
2002,2.27,2.66
2003,2.2,2.64
2004,2.2,2.63
2005,2.2,2.61
2006,2.19,2.61
2007,2.16,2.6
2008,2.15,2.6
2009,2.1,2.59
2010,2.08,2.57
2011,2.05,2.55
2012,2.11,2.56
2013,2.11,2.53
2014,2.19,2.52
2015,2.16,2.49
2016,2.11,2.49
2017,2.08,2.46
2018,2,2.39
2019,1.89,2.35
2020,1.77,2.28
2021,1.71,2.25
2022,1.63,2.22
2023,1.51,2.2
2024,1.48,2.19
