iso3c,year,gender,value
WLD,1990,female,56
WLD,1991,female,56
WLD,1992,female,55.9
WLD,1993,female,55.7
WLD,1994,female,55.8
WLD,1995,female,55.8
WLD,1996,female,55.7
WLD,1997,female,55.7
WLD,1998,female,55.7
WLD,1999,female,55.9
WLD,2000,female,55.8
WLD,2001,female,55.7
WLD,2002,female,55.6
WLD,2003,female,55.5
WLD,2004,female,55.5
WLD,2005,female,55.5
WLD,2006,female,55.2
WLD,2007,female,55.1
WLD,2008,female,54.8
WLD,2009,female,54.5
WLD,2010,female,54.2
WLD,2011,female,54
WLD,2012,female,53.8
WLD,2013,female,53.7
WLD,2014,female,53.6
WLD,2015,female,53.6
WLD,2016,female,53.6
WLD,2017,female,53.6
WLD,2018,female,53.6
WLD,2019,female,53.7
WLD,2020,female,52.4
WLD,2021,female,53.5
WLD,2022,female,54
WLD,2023,female,55
WLD,2024,female,55.1
WLD,2025,female,55.1
WLD,1990,male,84
WLD,1991,male,83.9
WLD,1992,male,83.7
WLD,1993,male,83.5
WLD,1994,male,83.3
WLD,1995,male,83.1
WLD,1996,male,83
WLD,1997,male,82.9
WLD,1998,male,82.7
WLD,1999,male,82.6
WLD,2000,male,82.4
WLD,2001,male,82.2
WLD,2002,male,82
WLD,2003,male,81.8
WLD,2004,male,81.7
WLD,2005,male,81.6
WLD,2006,male,81.4
WLD,2007,male,81.3
WLD,2008,male,81.1
WLD,2009,male,80.8
WLD,2010,male,80.6
WLD,2011,male,80.5
WLD,2012,male,80.3
WLD,2013,male,80.2
WLD,2014,male,80
WLD,2015,male,79.9
WLD,2016,male,79.8
WLD,2017,male,79.6
WLD,2018,male,79.5
WLD,2019,male,79.4
WLD,2020,male,78
WLD,2021,male,78.7
WLD,2022,male,79.1
WLD,2023,male,79.4
WLD,2024,male,79.4
WLD,2025,male,79.3
