,country,NY.GNP.PCAP.CD,variable,value,GNI_rank
1,Afghanistan,370,Female,92.13212149,2
2,Angola,2130,Female,72.11123559,42.5
3,Albania,7680,Female,49.53257053,97
4,United Arab Emirates,49020,Female,2.043385291,156
5,Argentina,12890,Female,20.62738009,116
6,Armenia,6840,Female,66.49187521,93
7,Australia,63160,Female,6.891854484,166
8,Austria,55220,Female,6.379573674,163
9,Azerbaijan,6670,Female,58.55907446,90
10,Burundi,220,Female,89.76337668,1
11,Belgium,55020,Female,9.297643983,162
12,Benin,1390,Female,91.61891963,27
13,Burkina Faso,860,Female,83.85857855,13
14,Bangladesh,2880,Female,59.81085291,53.5
15,Bulgaria,14270,Female,6.145810593,119
16,Bahrain,28460,Female,0.8170171622,140
17,"Bahamas, The",35540,Female,8.154160905,148
18,Bosnia and Herzegovina,8270,Female,24.16498481,102
19,Belarus,7850,Female,2.938813668,99
20,Belize,6890,Female,34.75834983,94
21,Bolivia,3620,Female,69.61965813,57
22,Brazil,9310,Female,22.59808195,104
23,Barbados,22870,Female,13.98154616,133
24,Brunei Darussalam,34390,Female,5.299408953,145
25,Bhutan,3740,Female,81.75648521,59
26,Botswana,8360,Female,29.43782256,103
27,Central African Republic,530,Female,96.79979423,4
28,Canada,54660,Female,8.232005939,159
29,Switzerland,95750,Female,11.36582801,175
30,Channel Islands,NA,Female,7.7253337,177
31,Chile,15950,Female,21.79063706,121
32,China,13730,Female,40.80863271,117
33,Cote d'Ivoire,2500,Female,83.44382982,48
34,Cameroon,1690,Female,77.57813284,33
35,"Congo, Dem. Rep.",640,Female,88.20217472,8.5
36,"Congo, Rep.",2450,Female,89.37963871,47
37,Colombia,6720,Female,41.28277153,92
38,Comoros,1660,Female,67.69964813,32
39,Cabo Verde,4780,Female,43.9333703,73
40,Costa Rica,14260,Female,21.34944346,118
41,Cuba,NA,Female,17.54615191,178
42,Cyprus,32960,Female,7.596433411,144
43,Czechia,29130,Female,10.25399287,141
44,Germany,54960,Female,4.229007235,161
45,Djibouti,3510,Female,48.04413849,55
46,Denmark,73340,Female,4.434500784,169
47,Dominican Republic,9700,Female,29.53473846,105
48,Algeria,4950,Female,23.18045147,77.5
49,Ecuador,6590,Female,57.86203389,89
50,"Egypt, Arab Rep.",3840,Female,26.67298829,63
51,Eritrea,NA,Female,83.5826692,179
52,Spain,32940,Female,8.383388128,143
53,Estonia,27580,Female,5.29469813,139
54,Ethiopia,NA,Female,87.40325811,180
55,Finland,53120,Female,7.486469889,157
56,Fiji,5680,Female,27.49879324,82
57,France,45440,Female,7.295040055,153
58,Gabon,7750,Female,38.2282724,98
59,United Kingdom,48560,Female,9.223148764,154
60,Georgia,6710,Female,43.84393355,91
61,Ghana,2280,Female,79.29212528,44
62,Guinea,1340,Female,86.65082698,26
63,"Gambia, The",870,Female,81.15480765,14.5
64,Guinea-Bissau,970,Female,86.87540567,16.5
65,Equatorial Guinea,4840,Female,88.73153,75
66,Greece,22320,Female,20.79261657,132
67,Guatemala,5470,Female,51.84086011,80
68,Guam,NA,Female,6.073752711,181
69,Guyana,17770,Female,27.36459784,123
70,"Hong Kong SAR, China",54910,Female,4.207624749,160
71,Honduras,2880,Female,48.56547586,53.5
72,Croatia,20590,Female,5.860926637,130
73,Haiti,1760,Female,84.21547606,34
74,Hungary,19860,Female,7.047287414,126
75,Indonesia,4810,Female,59.42031111,74
76,India,2580,Female,79.56758121,49.5
77,Ireland,78980,Female,5.889650452,170
78,"Iran, Islamic Rep.",4640,Female,36.10953699,71
79,Iraq,5920,Female,36.15299048,83
80,Iceland,80760,Female,8.412125109,173
81,Israel,54280,Female,6.951806903,158
82,Italy,38610,Female,12.35556487,150
83,Jamaica,6220,Female,29.19578266,86
84,Jordan,4450,Female,3.224678663,70
85,Japan,39360,Female,7.320560128,151
86,Kazakhstan,10690,Female,23.27307621,107
87,Kenya,2110,Female,73.55546167,40
88,Kyrgyz Republic,1840,Female,28.04345313,35
89,Cambodia,2390,Female,58.32038852,46
90,"Korea, Rep.",35490,Female,16.80323875,147
91,Kuwait,42030,Female,0.02357642237,152
92,Lao PDR,2110,Female,81.50846718,40
93,Lebanon,3730,Female,12.27686682,58
94,Liberia,720,Female,90.45126371,10.5
95,Libya,5940,Female,7.12824143,84
96,St. Lucia,12440,Female,16.98945997,115
97,Sri Lanka,3530,Female,38.55010586,56
98,Lesotho,1250,Female,29.73352705,24
99,Lithuania,25280,Female,8.44575204,137
100,Luxembourg,89650,Female,6.926252046,174
101,Latvia,21400,Female,7.645616928,131
102,"Macao SAR, China",65190,Female,2.081059486,167
103,Morocco,3760,Female,21.97926147,61
104,Moldova,6250,Female,59.44777283,87
105,Madagascar,510,Female,88.22905556,3
106,Maldives,11090,Female,32.82679406,109
107,Mexico,12000,Female,28.48665038,113
108,North Macedonia,7900,Female,7.899145299,100
109,Mali,1010,Female,92.75758448,21
110,Malta,34500,Female,9.051974387,146
111,Myanmar,1230,Female,63.28222668,23
112,Montenegro,11450,Female,10.54451342,110
113,Mongolia,4870,Female,35.17739346,76
114,Mozambique,540,Female,92.26523361,5
115,Mauritania,2130,Female,70.99130592,42.5
116,Mauritius,12070,Female,10.64838948,114
117,Malawi,600,Female,66.93135368,7
118,Malaysia,11710,Female,18.20801868,111
119,Namibia,4290,Female,39.08406927,68
120,New Caledonia,NA,Female,9.196387001,182
121,Niger,640,Female,93.76146709,8.5
122,Nigeria,1880,Female,78.91572244,36
123,Nicaragua,2360,Female,45.55164175,45
124,Netherlands,62540,Female,10.76682502,165
125,Norway,103170,Female,2.840943133,176
126,Nepal,1430,Female,91.19732674,29
