,code,sex,laborforce,unemployed,SL.EMP.VULN.ZS,SL.EMP.WORK.ZS,SL.EMP.MPYR.ZS,employed,vulnerable,waged,employer,total,not_in_laborforce
1,ABW,FE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,ABW,MA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,AFG,FE,5.369,26.57,92.13212149,7.278483143,0.5893953705,-21.201,-19.53293108,-1.543111211,-0.1249577125,5.369,94.631
4,AFG,MA,71.508,13.066,79.55890093,18.96614036,1.474958709,58.442,46.49581288,11.08419175,0.8619953689,71.508,28.492
5,AGO,FE,74.235,14.671,72.11123559,22.65788167,5.230867387,59.564,42.95233637,13.49594064,3.115713851,74.23499085,25.765
6,AGO,MA,79.033,14.405,49.33075982,46.04721409,4.622041069,64.628,31.88148346,29.75939352,2.987132702,79.03300968,20.967
7,ALB,FE,63.742,10.376,49.53257053,48.86529165,1.601961902,53.366,26.43355159,26.07745154,0.8549029886,63.74190612,36.258
8,ALB,MA,79.045,9.888,47.30112112,46.63801259,6.060723165,69.157,32.71203633,32.25345037,4.191414319,79.04490102,20.955
9,AND,FE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,AND,MA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,ARE,FE,54.893,4.297,2.043385291,95.93478994,2.021759036,50.596,1.033871222,48.53916632,1.022929202,54.89296674,45.107
12,ARE,MA,90.33,1.508,0.8558235185,94.89486892,4.249307558,88.822,0.7601595656,84.28752048,3.774319959,90.33,9.67
13,ARG,FE,62.147,6.793,20.62738009,77.07995441,2.292665496,55.354,11.41807998,42.66683797,1.269082059,62.147,37.853
14,ARG,MA,79.475,5.641,23.8099642,72.11397809,4.07605771,73.834,17.57984897,53.24463458,3.00951645,79.475,20.525
15,ARM,FE,68.693,12.542,66.49187521,33.22388882,0.2840812386,56.151,37.33585285,18.65554581,0.1595144563,68.69291312,31.307
16,ARM,MA,77.469,13.957,52.98561283,45.13340413,1.880983046,63.512,33.65222242,28.66512763,1.194649952,77.469,22.531
17,ASM,FE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,ASM,MA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,ATG,FE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,ATG,MA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,AUS,FE,76.909,3.572,6.891854484,90.60769359,2.500436825,73.337,5.054279323,66.44896425,1.833745354,76.90898892,23.091
22,AUS,MA,84.358,3.755,9.670871924,83.62934543,6.699796293,80.603,7.795012897,67.4077613,5.400236806,84.358011,15.642
23,AUT,FE,73.97,5.025,6.379573674,87.51878494,6.101641384,68.945,4.398397069,60.33982628,4.206776652,73.97,26.03
24,AUT,MA,81.917,5.476,11.55227571,81.40158566,7.046138625,76.441,8.830675076,62.2241861,5.386138826,81.917,18.083
25,AZE,FE,68.416,6.496,58.55907446,28.41521249,13.02571305,61.92,36.25977891,17.59469957,8.065521521,68.416,31.584
26,AZE,MA,72.022,4.778,47.4709662,36.40909786,16.11989475,67.244,31.92137651,24.48293376,10.83966203,72.0219723,27.978
27,BDI,FE,81.404,0.816,89.76337668,9.643104275,0.5935190434,80.588,72.33851,7.771184873,0.4783051267,81.404,18.596
28,BDI,MA,77.958,1.033,76.90808886,21.23522297,1.856723563,76.925,59.16154735,16.33519527,1.428284601,77.95802722,22.042
29,BEL,FE,66.689,5.049,9.297643983,88.72084316,1.981512859,61.64,5.731067751,54.68752772,1.221404526,66.689,33.311
30,BEL,MA,74.414,5.949,13.36869091,81.65261878,4.978690314,68.465,9.152874229,55.90346545,3.408660323,74.414,25.586
31,BEN,FE,75.5,1.461,91.61891963,7.640299337,0.7407810305,74.039,67.83373191,5.656801226,0.5484668672,75.5,24.5
32,BEN,MA,77.695,1.847,81.90646752,16.18108989,1.91244259,75.848,62.12441749,12.27303306,1.450549456,77.695,22.305
33,BFA,FE,42.553,5.77,83.85857855,13.29175073,2.849670715,36.783,30.84570095,4.889104672,1.048194379,42.553,57.447
34,BFA,MA,54.699,5.012,61.33529161,33.75951562,4.905162683,49.687,30.47566634,16.77409053,2.437228182,54.69898505,45.301
35,BGD,FE,46.979,4.765,59.81085291,38.68393035,1.50522051,42.214,25.24855345,16.33003436,0.6354137862,46.97900159,53.021
36,BGD,MA,83.456,4.274,42.57916245,51.16897241,6.251867316,79.182,33.71503241,40.51661573,4.950353578,83.45600172,16.544
37,BGR,FE,70.311,4.217,6.145810593,91.27324904,2.580872776,66.094,4.062012053,60.32614122,1.705802053,70.31095533,29.689
38,BGR,MA,77.157,4.409,8.155621845,86.44451763,5.399860527,72.748,5.93305178,62.88665768,3.928290536,77.157,22.843
39,BHR,FE,45.451,3.823,0.8170171622,96.59871619,2.583729487,41.628,0.3401079043,40.21211358,1.075554911,45.45077639,54.549
40,BHR,MA,87.911,0.424,1.007824762,97.57040725,1.421626086,87.487,0.8817156492,85.36142219,1.243738014,87.91087585,12.089
