iso3c,gdp,female,male,gni_rank
AFG,370,92.92,81.07,2
AGO,2840,81.5,51.46,52
ALB,9910,46.01,46.05,105
ARE,51550,2.46,1.23,159
ARG,13530,20.51,23.57,118
ARM,7810,34.08,31.77,100
AUS,62680,7.78,10.36,169
AUT,54760,7.18,8.45,163
AZE,7330,58.49,49.29,96
BDI,260,89.99,76.9,1
BEL,55290,8.94,12.89,165
BEN,1430,83.47,73.68,27.5
BFA,850,87.72,74.41,14
BGD,2820,64.62,53.59,51
BGR,15370,5.76,7.95,121
BHR,28090,0.62,0.78,141
BHS,37020,9.81,22.26,153
BIH,8790,23.23,14.49,104
BLR,8260,6.36,6.3,102
BLZ,7150,34.21,27.25,94
BOL,4160,67.59,58.45,67
BRA,9930,21.67,29.38,106
BRB,25140,12.71,24.76,137
BRN,36020,6.08,3.43,150
BTN,3730,82.01,60.37,61
BWA,7750,26.71,24.73,98
CAF,510,85,74.29,3.5
CAN,53400,8.39,10.61,162
CHE,95220,9.75,9.46,178
CHL,15750,20.99,20.88,123
CHN,13660,32.68,34,119
CIV,2530,80.13,61.29,47
CMR,1700,77.12,60.15,35.5
COD,670,87.38,75.81,8
COG,2280,89.61,63.29,43
COL,7040,40.75,44.47,92
COM,1590,68.46,48.29,31
CPV,4950,44.68,26.1,74
CRI,15620,20.92,25.01,122
CYP,32870,7.34,9.25,146
CZE,29560,10.07,16.3,143
DEU,55090,3.9,4.73,164
DJI,3640,48.16,23.66,59
DNK,72540,4.47,6.23,171
DOM,10280,29.37,43.95,107
DZA,5370,21.24,26.33,79
ECU,6430,59.16,43.91,88
EGY,3510,29.28,22.71,57
ESP,33550,8.13,11.75,147
EST,28880,5.35,8.83,142
ETH,1100,86.53,82.38,22
FIN,51650,6.7,12.06,160
FJI,5820,30.65,33.87,83
FRA,45160,7.83,9.13,156
GAB,7790,36.97,25.82,99
GBR,49470,8.99,13.87,158
GEO,8110,40.4,44.33,101
GHA,2310,66.83,53.74,44
GIN,1440,86.64,73.84,29
GMB,880,80.68,47.18,15
GNB,990,85.16,65.48,17
GNQ,4740,28.69,19.4,72
GRC,22730,20.3,25.17,134
GTM,5780,51.37,28.83,82
GUY,20140,25.24,25.42,128
HKG,57070,3.79,7.85,166
HND,3020,47.04,26.94,55.5
HRV,22250,4.33,8.16,133
HTI,1760,83.61,69.88,37
HUN,20770,6.86,8.69,129
IDN,4910,58.51,44.32,73
IND,2650,78.24,68.95,49
IRL,80650,5.79,13.04,174
