Year,Turkiye,World
1960,6.383,4.68612930470292
1961,6.419,4.564754529949
1962,6.382,5.02406248655481
1963,6.339,5.3143047438063
1964,6.291,5.13081511174369
1965,6.22,5.08093210665586
1966,6.152,4.96824855612943
1967,6.057,4.86580773166785
1968,5.962,4.9782579930493
1969,5.872,4.88003246945033
1970,5.775,4.84002924595242
1971,5.671,4.68936425688911
1972,5.548,4.54782327999565
1973,5.41,4.41717271303181
1974,5.243,4.25592763733336
1975,5.087,4.07351270589018
1976,4.931,3.96690771984079
1977,4.784,3.84198826465246
1978,4.691,3.7738187952534
1979,4.579,3.75640639347632
1980,4.453,3.73131914876981
1981,4.351,3.70557184354347
1982,4.205,3.72160011270126
1983,4.056,3.5948005297794
1984,3.911,3.56788191666521
1985,3.779,3.52964883940766
1986,3.658,3.51437316528329
1987,3.542,3.48258025154149
1988,3.445,3.39314546306673
1989,3.336,3.34612362951916
1990,3.107,3.30678743024894
1991,3.003,3.12602580049007
1992,2.939,3.03900996073763
1993,2.916,2.97156265844123
1994,2.874,2.9191012780647
1995,2.835,2.86595658149546
1996,2.779,2.81877822250376
1997,2.744,2.77886534522117
1998,2.707,2.7468453071977
1999,2.63,2.72138681132452
2000,2.487,2.72993435813043
2001,2.392,2.68857104395427
2002,2.268,2.66013053197025
2003,2.202,2.63807638069448
2004,2.197,2.62802673808339
2005,2.197,2.61073375967627
2006,2.193,2.60628131581609
2007,2.16,2.60198761003892
2008,2.15,2.60338897694502
2009,2.1,2.5930409929596
2010,2.08,2.568165090055
2011,2.05,2.54805280275075
2012,2.11,2.56449164139294
2013,2.11,2.52505238584146
2014,2.19,2.5175859223667
2015,2.16,2.49007114603977
2016,2.11,2.49144627787531
2017,2.08,2.45987854687726
2018,2,2.39178620976976
2019,1.89,2.35329705540468
2020,1.77,2.27635601772692
2021,1.71,2.24568916223451
2022,1.63,2.21520292711391
2023,1.51,2.19585696926797
2024,1.48,2.18851525484567
