code,sex,unemployed,vulnerable,wage,employer
CHE,FE,5.039,9.75115255038066,84.9498110821023,5.29908019489157
CHE,MA,4.724,9.46012757926914,81.5284947829749,9.01141662897516
TZA,FE,2.222,89.4909771737305,9.41570978845549,1.09331916618166
TZA,MA,0.948,78.1173606925798,19.6312911148303,2.25134819258994
