code,time,Female,Male,wage_ratio,wage_ratio_month
AFG,2020,11.65,5.17,2.25,0.81
AGO,2024,1.78,2.16,0.82,0.74
ALB,2018,5.36,5.76,0.93,0.94
ARG,2024,7.94,8.44,0.94,0.73
ARM,2017,3.12,3.97,0.79,0.64
ATG,2018,6.12,7.37,0.83,0.86
AUT,2021,25.92,31.59,0.82,0.69
BDI,2020,0.55,0.67,0.82,0.83
BEL,2018,21.83,24.51,0.89,0.82
BFA,2024,2.45,3.07,0.8,0.72
BGD,2024,1.96,2.29,0.85,0.79
BGR,2018,8.02,9.35,0.86,0.89
BHS,2019,25.42,24.89,1.02,1.02
BIH,2024,12.85,13.71,0.94,0.91
BLZ,2021,5.21,4.69,1.11,0.88
BOL,2024,9.89,10.34,0.96,0.79
BRA,2025,7.67,8.52,0.9,0.82
BRN,2017,13.24,13.29,1,NA
BTN,2022,5.03,5,1.01,0.87
BWA,2024,6.63,7.45,0.89,0.83
CAN,2025,30.99,34.9,0.89,0.8
CHE,2024,31.84,36.74,0.87,0.69
CHL,2024,11.43,13.65,0.84,0.81
CIV,2019,3.52,4.82,0.73,0.87
COD,2016,3.61,3.09,1.17,0.65
COL,2025,6.16,5.89,1.05,0.98
COM,2021,4.58,4.1,1.12,0.75
CRI,2025,10.23,9.18,1.11,1.01
CUW,2018,46.62,50.64,0.92,0.85
CYP,2018,16.4,17.89,0.92,0.72
CZE,2021,14.43,16.95,0.85,0.76
DEU,2022,31.34,36.19,0.87,0.69
DOM,2025,7.48,7.67,0.97,0.87
ECU,2025,8.16,7.48,1.09,1.05
EGY,2024,4.51,4.77,0.95,0.85
ESP,2021,24.45,25.97,0.94,0.81
EST,2018,11.43,14.7,0.78,0.82
ETH,2021,1.7,2.15,0.79,0.74
FIN,2022,23.86,28.68,0.83,0.81
FJI,2024,8.71,8.84,0.98,0.98
FRA,2024,21.95,23.19,0.95,0.83
GBR,2025,26.27,30.34,0.87,0.75
GHA,2024,3.19,3.95,0.81,0.77
GIN,2019,3.32,4.18,0.79,0.81
GMB,2018,1.57,1.56,1.01,0.92
GRC,2020,9.43,9.77,0.97,0.85
GTM,2024,6.23,5.92,1.05,0.84
GUY,2019,4.2,4.21,1,0.86
HND,2025,6.02,4.66,1.29,1.12
HUN,2022,16.25,19.73,0.82,0.87
IDN,2023,2.88,3.32,0.87,0.77
IND,2024,3.57,4.57,0.78,0.7
IRL,2018,22.23,24.25,0.92,0.75
IRQ,2021,8.15,4.92,1.66,NA
ISL,2022,26.38,29.89,0.88,0.77
ISR,2021,14.45,17.79,0.81,0.66
ITA,2020,15.04,14.67,1.03,0.75
JOR,2023,5.75,5.49,1.05,0.98
KEN,2019,2.19,2.38,0.92,0.86
KHM,2023,3.36,3.78,0.89,0.88
KIR,2023,5.51,5.33,1.03,1.04
KOR,2022,22.07,31.21,0.71,0.66
LAO,2022,3.74,4.56,0.82,0.78
LBN,2019,11.05,8.13,1.36,1.05
LBR,2017,20.89,19.74,1.06,1.16
LKA,2024,3.07,3.23,0.95,0.87
LSO,2024,2.56,2.67,0.96,0.89
LTU,2018,9.7,11.08,0.88,0.83
LUX,2018,26.69,26.69,1,0.78
LVA,2018,10.6,12.37,0.86,0.8
MDA,2025,5.72,6.25,0.91,0.86
MDG,2015,1.63,1.49,1.09,0.88
MDV,2019,5.62,6.54,0.86,0.77
MEX,2025,5.29,5.29,1,0.84
MHL,2019,5.2,4.6,1.13,1.14
MKD,2018,7.91,9.34,0.85,NA
MLI,2024,2.9,4.69,0.62,0.58
MLT,2018,17.23,20.36,0.85,NA
MMR,2020,2.81,3.02,0.93,0.88
MNG,2024,7.29,8.28,0.88,0.79
MUS,2024,10,10.85,0.92,0.83
MYS,2020,10.18,10.18,1,0.98
NAM,2018,5.54,5.55,1,0.9
NCL,2017,13.41,12.4,1.08,0.88
NGA,2024,1.65,2.25,0.73,0.73
NLD,2018,20.15,23.7,0.85,0.68
NOR,2018,25.8,29.67,0.87,0.77
NPL,2017,3.23,3.85,0.84,0.7
PAK,2025,2.19,2.12,1.03,0.77
PAN,2024,10.97,9.82,1.12,1.1
PER,2025,5.83,6.34,0.92,0.82
PHL,2023,5.83,5.17,1.13,1.06
PRI,2020,14.78,15.99,0.92,0.87
PRT,2025,13.57,14.71,0.92,0.86
PRY,2025,7.31,7.03,1.04,0.89
ROU,2021,17.02,17.24,0.99,0.86
RUS,2021,11.49,15.07,0.76,0.72
RWA,2024,1.66,2.21,0.75,0.64
SDN,2022,1.71,4.57,0.38,0.4
SEN,2024,3.65,4.18,0.87,0.66
SLV,2024,5.82,5.44,1.07,0.96
SRB,2018,7.95,8.71,0.91,0.84
SVK,2022,14.69,17.38,0.85,0.83
SVN,2018,14.01,15.56,0.9,0.85
SWE,2022,24.06,26.7,0.9,0.84
THA,2024,8.54,8.24,1.04,1.01
TLS,2021,6.42,5.51,1.17,0.93
TON,2023,5.69,7,0.81,0.93
TUN,2019,6.13,6.08,1.01,0.87
TUR,2024,12.93,13.75,0.94,0.88
TZA,2024,3.93,4.43,0.89,0.86
UGA,2021,1.62,3.13,0.52,0.55
UKR,2016,4.77,5.99,0.8,NA
URY,2024,10.47,10.56,0.99,0.81
USA,2025,38.69,47.88,0.81,0.73
UZB,2022,7.88,10.84,0.73,0.66
VNM,2024,5.95,6.52,0.91,0.89
WSM,2022,6.08,6.37,0.96,1.03
ZAF,2019,2.62,2.9,0.9,0.64
ZMB,2024,3.34,3.29,1.02,0.93
