Sex,Education,Year,Value
Male,Aggregate levels: Total,2024,78.93
Male,Aggregate levels: Less than basic,2024,59.02
Male,Aggregate levels: Basic,2024,73.61
Male,Aggregate levels: Intermediate,2024,80.38
Male,Aggregate levels: Advanced,2024,90.66
Female,Aggregate levels: Total,2024,42.06
Female,Aggregate levels: Less than basic,2024,24.46
Female,Aggregate levels: Basic,2024,31.88
Female,Aggregate levels: Intermediate,2024,41.91
Female,Aggregate levels: Advanced,2024,70.81
