iso3c,date,years_of_schooling
AUS,1870,1.664016366
AUS,1875,1.738082647
AUS,1880,1.79469943
AUS,1885,2.008691549
AUS,1890,2.300254583
AUS,1895,2.59516716
AUS,1900,2.774000883
AUS,1905,3.09122324
AUS,1910,3.369726181
AUS,1915,3.931032896
AUS,1920,4.443223
AUS,1925,4.939862251
AUS,1930,5.551027775
AUS,1935,6.157177925
AUS,1940,6.695563793
AUS,1945,7.214155197
AUS,1950,8.045456886
AUS,1955,8.261735916
AUS,1960,8.535741806
AUS,1965,8.818068504
AUS,1970,9.732281685
AUS,1975,10.30023575
AUS,1980,10.99701786
AUS,1985,11.29715347
AUS,1990,11.52087879
AUS,1995,11.71593952
AUS,2000,11.63871861
AUS,2005,11.92983532
AUS,2010,11.86083031
AUT,1870,1.953614235
AUT,1875,2.074206829
AUT,1880,2.200030565
AUT,1885,2.332267046
AUT,1890,2.503020287
AUT,1895,2.722960472
AUT,1900,2.987710476
AUT,1905,3.294767857
AUT,1910,3.620516777
AUT,1915,3.99603653
AUT,1920,4.375491142
AUT,1925,4.777608871
AUT,1930,5.28937006
AUT,1935,5.757322788
AUT,1940,6.132894993
AUT,1945,6.454795837
AUT,1950,6.437089443
AUT,1955,6.110079765
AUT,1960,5.792514324
AUT,1965,6.77827549
AUT,1970,7.485275745
AUT,1975,7.677019119
AUT,1980,7.848503113
AUT,1985,8.01624012
AUT,1990,8.506370544
AUT,1995,8.983093262
AUT,2000,9.557132721
AUT,2005,10.171381
AUT,2010,10.50756073
BEL,1870,2.27761364
BEL,1875,2.173382759
BEL,1880,2.385815859
BEL,1885,2.586046457
BEL,1890,2.747687817
BEL,1895,2.720317364
BEL,1900,2.572910786
BEL,1905,2.611894846
BEL,1910,2.902272224
BEL,1915,3.035838604
BEL,1920,3.235341787
BEL,1925,3.507723093
BEL,1930,3.877459049
BEL,1935,4.35796833
BEL,1940,4.91408968
BEL,1945,5.536688805
BEL,1950,6.625620365
BEL,1955,7.005241871
BEL,1960,7.147959232
BEL,1965,7.245434761
BEL,1970,7.486986637
BEL,1975,7.922821045
BEL,1980,8.547585487
BEL,1985,9.072110176
BEL,1990,9.736215591
BEL,1995,10.5206871
BEL,2000,10.95727825
BEL,2005,11.2960825
BEL,2010,11.5480814
CAN,1870,2.510410547
CAN,1875,2.639497757
CAN,1880,2.767282724
CAN,1885,2.897359848
CAN,1890,2.982099771
CAN,1895,3.118518353
CAN,1900,3.634981632
CAN,1905,4.12720871
CAN,1910,4.589285374
CAN,1915,5.05161047
CAN,1920,5.460638523
CAN,1925,5.894625187
CAN,1930,6.256103516
CAN,1935,6.68652916
CAN,1940,6.961249828
CAN,1945,7.298316002
CAN,1950,7.605963707
CAN,1955,7.978682041
CAN,1960,8.358633041
CAN,1965,8.579058647
CAN,1970,9.083654404
CAN,1975,9.65536499
CAN,1980,10.33512115
CAN,1985,10.26337528
CAN,1990,10.73879528
CAN,1995,11.13336182
CAN,2000,11.5285778
CAN,2005,12.80424309
CAN,2010,13.08271408
DNK,1870,2.407365322
DNK,1875,2.455426931
DNK,1880,2.502515793
DNK,1885,2.552409172
DNK,1890,2.608664513
DNK,1895,2.678710222
DNK,1900,2.755580425
DNK,1905,2.827837229
DNK,1910,2.893967628
DNK,1915,3.148635626
DNK,1920,3.435372114
DNK,1925,3.782820225
DNK,1930,4.120650291
DNK,1935,4.523085117
DNK,1940,4.886370182
DNK,1945,5.250609875
DNK,1950,5.532295704
DNK,1955,4.36967659
DNK,1960,4.840704918
DNK,1965,5.402254581
DNK,1970,6.204093933
DNK,1975,7.071402073
DNK,1980,8.148831367
DNK,1985,9.002623558
DNK,1990,10.3712635
DNK,1995,11.19322109
DNK,2000,11.66538811
DNK,2005,12.11123943
DNK,2010,12.41182518
FIN,1870,0.1000706553
FIN,1875,0.117665574
FIN,1880,0.13756603
FIN,1885,0.163004458
FIN,1890,0.1993851364
FIN,1895,0.2498382777
FIN,1900,0.7802948952
FIN,1905,1.236933947
FIN,1910,1.715301514
FIN,1915,2.097239256
FIN,1920,2.494454861
FIN,1925,2.864056587
FIN,1930,3.181942225
FIN,1935,3.488441944
FIN,1940,3.59675169
FIN,1945,3.713719606
FIN,1950,3.888063669
FIN,1955,4.002986908
FIN,1960,4.128743649
FIN,1965,4.837416649
FIN,1970,5.624763012
FIN,1975,6.688586712
FIN,1980,7.907822132
FIN,1985,7.921828747
FIN,1990,8.619215012
FIN,1995,9.415218353
FIN,2000,10.24434853
FIN,2005,10.83653069
FIN,2010,11.21539879
FRA,1870,0.6724700928
FRA,1875,0.7036161423
FRA,1880,0.739143014
FRA,1885,0.8986271024
FRA,1890,1.241258264
FRA,1895,1.600852966
FRA,1900,1.94985199
FRA,1905,2.28384757
FRA,1910,2.662711859
FRA,1915,2.986979485
FRA,1920,3.345085621
FRA,1925,3.619006872
FRA,1930,3.782269001
FRA,1935,3.903889894
FRA,1940,4.119904518
FRA,1945,4.269424438
FRA,1950,4.414093494
FRA,1955,4.589653015
FRA,1960,4.263985157
FRA,1965,4.624376774
FRA,1970,5.168131351
FRA,1975,5.81258297
FRA,1980,6.511863232
FRA,1985,7.129715443
FRA,1990,8.153414726
FRA,1995,9.153321266
FRA,2000,10.09049606
FRA,2005,10.94797134
FRA,2010,11.43124008
DEU,1870,1.95565331
DEU,1875,2.160006046
DEU,1880,2.375918388
DEU,1885,2.609691858
DEU,1890,2.840679884
DEU,1895,3.058609962
DEU,1900,3.275713205
DEU,1905,3.478432178
DEU,1910,3.639134884
DEU,1915,3.756385088
DEU,1920,4.375644207
DEU,1925,4.926014423
DEU,1930,5.482622147
DEU,1935,5.984101295
DEU,1940,6.433569908
DEU,1945,6.702876568
DEU,1950,7.217767239
DEU,1955,7.568098068
DEU,1960,7.620821953
DEU,1965,7.769389629
DEU,1970,7.891831875
DEU,1975,7.766596317
DEU,1980,8.012237549
DEU,1985,8.193757057
DEU,1990,9.160984039
DEU,1995,10.27676964
DEU,2000,11.28831291
DEU,2005,12.5014658
DEU,2010,13.09992409
GRC,1870,0.6847845912
GRC,1875,0.7911618352
GRC,1880,0.8976646066
GRC,1885,1.006317854
GRC,1890,1.123717666
GRC,1895,1.241214037
GRC,1900,1.457473993
GRC,1905,1.627902985
GRC,1910,1.824471235
GRC,1915,2.072259665
GRC,1920,2.278575897
GRC,1925,2.659798861
GRC,1930,2.983671665
GRC,1935,3.388300657
GRC,1940,3.714893579
GRC,1945,4.11315918
GRC,1950,4.080068111
GRC,1955,5.392344475
GRC,1960,7.347903252
GRC,1965,6.398898125
GRC,1970,6.42577219
GRC,1975,6.742499352
GRC,1980,7.116949081
GRC,1985,7.840947628
GRC,1990,8.631552696
GRC,1995,9.147745132
GRC,2000,9.774240494
GRC,2005,10.97857952
GRC,2010,11.47438526
IRL,1870,0.6186788678
IRL,1875,0.6933000088
IRL,1880,0.7809880972
IRL,1885,0.8870124221
IRL,1890,1.002611995
IRL,1895,1.143115401
IRL,1900,1.326276422
IRL,1905,1.544447303
IRL,1910,1.784432292
IRL,1915,2.125331879
