country,type,experience_years,wage_estimate,wage_std_error,wage_estimate_usd
India,bsc,0,33.12497909,0.3526274215,1.696270101
India,bsc,5,38.44910505,0.375862502,1.968908935
India,bsc,10,41.61357011,0.3524800929,2.130955451
India,bsc,15,45.83490749,0.5092439662,2.347122482
India,bsc,20,48.2081888,0.5206152368,2.468653914
India,bsc,25,51.89740136,0.7851601682,2.657571798
India,bsc,30,55.13918841,0.8850446068,2.823577833
India,bsc,35,63.86434188,1.102801284,3.270377118
India,adv,0,59.28330422,1.099970071,3.035790487
India,adv,5,89.55717876,1.564895699,4.586060695
India,adv,10,112.0420588,1.841429283,5.737470621
India,adv,15,131.5901714,2.441962262,6.738494014
India,adv,20,141.4533905,3.03008856,7.243571575
India,adv,25,165.3233518,3.924139018,8.465909001
India,adv,30,178.4898208,4.177257106,9.140139996
India,adv,35,189.1714152,7.230026324,9.687125074
Brazil,bsc,0,5.685721459,0.07627747762,2.430322028
Brazil,bsc,5,6.335184477,0.06904900326,2.70793047
Brazil,bsc,10,6.986212857,0.08173501203,2.986208015
Brazil,bsc,15,7.259138265,0.09747212668,3.10286808
Brazil,bsc,20,7.83343775,0.08950543343,3.348348394
Brazil,bsc,25,8.287767311,0.1065257606,3.5425484
Brazil,bsc,30,8.706497388,0.1451981637,3.721531654
Brazil,bsc,35,9.36450241,0.1147284331,4.002791316
Brazil,adv,0,14.11838419,0.4435938127,6.034804964
Brazil,adv,5,21.54667228,0.4797232143,9.20997496
Brazil,adv,10,28.41253275,0.6038222801,12.14473919
Brazil,adv,15,34.03618231,0.7884528793,14.54852901
Brazil,adv,20,38.77874237,1.186919123,16.57570327
Brazil,adv,25,42.52769409,1.283684398,18.17816656
Brazil,adv,30,51.80832012,1.941241314,22.14510551
Brazil,adv,35,56.88746562,2.071212004,24.31615087
