iso3c,country,region,income,gender,type,value
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",lic,Total,years,4.271336585
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",lic,Male,years,5.875634909
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",lic,Female,years,2.5723373
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",lic,Total,lays,1.951673587
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",lic,Male,lays,2.878238861
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",lic,Female,lays,1.057924458
ALB,Albania,Europe & Central Asia,umc,Total,years,11.912319
ALB,Albania,Europe & Central Asia,umc,Male,years,12.2106241
ALB,Albania,Europe & Central Asia,umc,Female,years,11.58135116
ALB,Albania,Europe & Central Asia,umc,Total,lays,8.406087279
ALB,Albania,Europe & Central Asia,umc,Male,lays,8.462806751
ALB,Albania,Europe & Central Asia,umc,Female,lays,8.33000897
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",hic,Total,years,12.86075211
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",hic,Male,years,12.86379337
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",hic,Female,years,12.85770988
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",hic,Total,lays,9.613363846
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",hic,Male,lays,9.527366309
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",hic,Female,lays,9.704343351
ARG,Argentina,Latin America & Caribbean,umc,Total,years,12.24680907
ARG,Argentina,Latin America & Caribbean,umc,Male,years,12.09681028
ARG,Argentina,Latin America & Caribbean,umc,Female,years,12.4123289
ARG,Argentina,Latin America & Caribbean,umc,Total,lays,8.013925552
ARG,Argentina,Latin America & Caribbean,umc,Male,lays,7.927402445
ARG,Argentina,Latin America & Caribbean,umc,Female,lays,8.110335098
ARM,Armenia,Europe & Central Asia,umc,Total,years,11.46274111
ARM,Armenia,Europe & Central Asia,umc,Male,years,11.54751834
ARM,Armenia,Europe & Central Asia,umc,Female,years,11.38148186
ARM,Armenia,Europe & Central Asia,umc,Total,lays,8.894405379
ARM,Armenia,Europe & Central Asia,umc,Male,lays,8.976069257
ARM,Armenia,Europe & Central Asia,umc,Female,lays,8.815106635
ATG,Antigua and Barbuda,Latin America & Caribbean,hic,Total,years,12.22332931
ATG,Antigua and Barbuda,Latin America & Caribbean,hic,Male,years,11.93004799
ATG,Antigua and Barbuda,Latin America & Caribbean,hic,Female,years,12.56300837
ATG,Antigua and Barbuda,Latin America & Caribbean,hic,Total,lays,8.208433553
ATG,Antigua and Barbuda,Latin America & Caribbean,hic,Male,lays,7.812228237
ATG,Antigua and Barbuda,Latin America & Caribbean,hic,Female,lays,8.651768445
AUS,Australia,East Asia & Pacific,hic,Total,years,12.88273132
AUS,Australia,East Asia & Pacific,hic,Male,years,12.86297321
AUS,Australia,East Asia & Pacific,hic,Female,years,12.91141123
