country,type,estimate,std.error,statistic,p.value
Brazil,pri,52.2360069,0.7184281281,72.70874406,0
Brazil,sec,91.29589415,0.7246151122,125.992258,0
Brazil,ter,167.2816763,0.7635305126,219.0897069,0
India,pri,27.83697196,0.3770045253,73.83723561,0
India,sec,58.12671264,0.4137761545,140.4786429,0
India,ter,123.9992057,0.4630411582,267.7930537,0
South Africa,pri,39.24454758,1.726108177,22.73585636,3.13e-114
South Africa,sec,81.24696911,1.786973016,45.46625404,0
South Africa,ter,160.2305545,1.97319738,81.2035107,0
Philippines,pri,21.39924399,1.000775738,21.38265665,2.24e-101
Philippines,sec,55.98681396,1.003084667,55.81464435,0
Philippines,ter,88.35109033,1.021704207,86.47423566,0
Georgia,pri,38.20750312,14.20828819,2.689099673,0.007167776193
Georgia,sec,53.80010067,14.12761828,3.808150786,0.00014
Georgia,ter,78.66571254,14.13211381,5.566450538,2.62e-8
