iso3c,lays_2010,lays_2025
ALB,7.237079925,8.406087279
ARE,6.620505784,9.613363846
ARG,7.516318338,8.013925552
AUS,10.31721991,10.7303515
AUT,10.12679387,9.987535731
AZE,7.329829551,8.570374949
BDI,3.588017465,3.341535625
BEL,10.29613258,10.00207005
BEN,4.333108575,3.993010843
BFA,2.807518032,3.13380359
BGR,8.734809637,9.211663425
BHR,7.813329751,8.894345049
BIH,8.063655157,8.156471264
BRA,7.21467314,8.280890031
BWA,6.084194868,6.627333809
CHE,10.44153618,10.20394982
CHL,8.968472816,9.06801773
CIV,2.799985534,3.541643994
CMR,5.657064742,4.00324427
COD,6.287937973,4.654776737
COG,3.706119322,4.544846458
COL,7.703649904,7.659119072
COM,4.255085398,4.037131654
CRI,7.453603885,8.060332028
CUB,10.45369158,8.167629425
CYP,9.133237916,10.07980002
CZE,10.45387885,10.47621637
DEU,10.56989899,10.07635829
DNK,10.28382668,10.41890112
DOM,5.759923507,6.236191053
DZA,6.252586664,6.636500409
ECU,6.55179401,7.561145791
EGY,5.229876145,6.556967587
FIN,11.38619631,10.57141652
FRA,10.02464082,10.03826837
GBR,10.51822255,10.5072786
GEO,7.53881041,8.898830455
GHA,4.509622255,5.894987054
GIN,3.629876573,3.442456304
GMB,4.199858507,4.524948224
GRC,9.465507594,8.879262428
GTM,5.495899756,5.022803637
HKG,10.66868027,10.87319741
HND,6.953491396,4.718841553
HRV,9.860371288,10.05326413
HUN,10.37959075,9.631879729
IDN,6.902707486,7.314419426
IND,5.332534602,7.026244049
IRN,7.48325614,8.056751924
ISL,10.19267013,9.967519684
ISR,9.529124586,9.579804803
ITA,9.996132471,10.04999985
JOR,7.156179785,7.295720768
KAZ,8.154104061,8.311730154
KEN,7.048728243,7.9949248
KGZ,5.882461046,7.987752737
KWT,6.564257934,6.163244139
LBN,5.841853149,5.15571122
LSO,4.401024276,3.683572487
LTU,10.19358165,10.58883822
LUX,9.191195399,9.291269134
LVA,10.22208281,10.50162259
MAC,8.818519736,9.658356963
MAR,4.65947362,6.360913155
MDA,7.749015773,8.786107849
MDG,5.183315548,3.576422934
MEX,7.852628056,7.791167957
MKD,7.558988794,7.955647407
MLI,2.732483245,2.404735398
MNE,8.548744229,9.061823486
MNG,8.483714528,8.008537413
MUS,7.690449409,8.370555213
MWI,3.606481451,4.185709232
MYS,7.489865778,6.911367001
NAM,5.063935481,5.875272308
NER,2.128721805,2.422043824
NIC,6.301884236,6.35371179
NOR,10.50911858,10.46176308
OMN,7.10212727,7.611345868
PAN,6.314396075,6.728896018
PER,7.014694953,8.132706095
PHL,5.927356764,6.413443872
POL,10.2434453,10.80496572
PRT,10.30813729,10.25133926
PRY,6.952103425,6.204479206
PSE,6.642123503,7.066908121
QAT,7.209824923,8.322995968
ROU,8.061685737,8.491846726
RUS,9.247200233,10.11732187
SEN,3.949861658,4.107526792
SLV,6.172200935,5.697946861
SRB,8.840117086,9.694333265
SVK,9.679915372,9.632541658
SVN,10.29779627,10.36438844
SWE,10.55160363,10.84252595
SWZ,5.706303869,6.43205679
SYC,7.456650238,7.870349853
TCD,3.139279648,2.73080865
TGO,4.200952747,4.807826947
THA,7.887533188,8.204039708
TTO,7.605963864,7.084303175
TUN,6.461692457,6.619003436
TUR,7.873002166,10.19591543
TZA,4.708491136,4.05766785
UGA,4.586343673,5.115127074
UKR,8.870929473,9.574182295
URY,7.530958384,8.508451052
USA,10.31483295,9.952751867
ZAF,3.84785424,6.142228836
ZMB,4.450977959,4.880824355
ZWE,5.310629909,5.797218918
