type,mbps,iso3c
Fixed Broadband,80.48,KGZ
Fixed Broadband,78.93,BLR
Fixed Broadband,77.9,NPL
Fixed Broadband,77.79,KAZ
Fixed Broadband,76.4,BHS
Fixed Broadband,76.22,GTM
Fixed Broadband,74.5,HND
Fixed Broadband,70.79,GRC
Fixed Broadband,69.82,ARM
Fixed Broadband,68.12,PSE
Fixed Broadband,61.43,MAR
Fixed Broadband,60.26,CIV
Fixed Broadband,59.51,IND
Fixed Broadband,58.44,BOL
Fixed Broadband,58.02,BGD
Fixed Broadband,57.44,MUS
Fixed Broadband,54.57,TUR
Fixed Broadband,50.51,MKD
Fixed Broadband,49.56,HTI
Fixed Broadband,49,BLZ
Fixed Broadband,48.5,KHM
Fixed Broadband,48.47,GHA
Fixed Broadband,48.35,ZAF
Fixed Broadband,46.78,DOM
Fixed Broadband,45.91,BFA
Fixed Broadband,45.45,LAO
Fixed Broadband,42.81,GAB
Fixed Broadband,41.79,ATG
Fixed Broadband,41.41,GEO
Fixed Broadband,41,IRQ
Fixed Broadband,39.77,COD
Fixed Broadband,38.93,TJK
Fixed Broadband,38.57,RWA
Fixed Broadband,36.26,ZWE
Fixed Broadband,35.96,IDN
Fixed Broadband,35.9,BIH
Fixed Broadband,33.72,TGO
Fixed Broadband,31.94,MDG
Fixed Broadband,30.1,FJI
Fixed Broadband,29.75,CPV
Fixed Broadband,29.25,UGA
Fixed Broadband,29,LKA
Fixed Broadband,28.06,MOZ
Fixed Broadband,27.7,NGA
Fixed Broadband,25.43,MRT
Fixed Broadband,25.37,BEN
Fixed Broadband,24.65,MMR
Fixed Broadband,23.21,DZA
Fixed Broadband,20.75,AGO
Fixed Broadband,19.68,SOM
Fixed Broadband,19.42,SUR
Fixed Broadband,19.17,TZA
Fixed Broadband,18.96,MDV
Fixed Broadband,18.94,IRN
Fixed Broadband,18.22,DJI
Fixed Broadband,16.44,LBN
Fixed Broadband,16.32,TUN
Fixed Broadband,16.23,PAK
Fixed Broadband,16.17,YEM
Fixed Broadband,15.17,KEN
Fixed Broadband,14.96,NAM
Fixed Broadband,10.92,ETH
Fixed Broadband,10.87,CMR
Fixed Broadband,10.79,LBY
Fixed Broadband,4.43,AFG
Fixed Broadband,3.33,CUB
Fixed Broadband,3.19,SYR
