iso3c,internet_2015,internet_2024
AFG,8.3,16.1
ZAF,51.9,78.4
AGO,22,40.7
ALB,56.9,85.9
DZA,38.2,77.4
AND,87.9,94.4
ARG,68,89.7
ARM,59.1,81.3
SAU,69.6,100
ATG,70,72.7
AUS,84.6,96.1
AUT,83.9,94.9
AZE,77,90.4
BRA,58.3,84.5
BHS,78,92.5
BDI,2,8.6
BEL,85.1,95.8
BEN,11.3,34
BFA,6.5,28.3
BGD,12.4,53.4
BHR,93.5,100
BLR,62.2,94.3
BLZ,41.6,80
BOL,37.5,79.7
BWA,38.9,57.5
BRB,72,70.4
BRN,71.2,96.3
BTN,39.8,91.3
BGR,56.7,82.4
CAF,2.9,13.8
CAN,90,94.4
KHM,6.4,68.5
CHL,76.6,95.6
CHN,50.3,92
COL,55.9,79.3
LKA,15.3,54.6
CMR,18.3,46.3
COG,7.6,47.3
COM,7.5,32.5
CPV,42.7,74.7
CIV,38.4,41.4
CRI,59.8,87.2
CUB,37.3,70.5
CYP,71.7,89.6
DEU,87.6,93.5
DJI,22.9,65.3
DMA,65,82
DNK,96.3,99.8
DOM,54.2,91
ESP,78.7,95.8
EGY,37.8,74.6
ECU,48.9,77.2
EST,88.4,92.2
ETH,13.9,21.9
FRA,78,88.7
FJI,42.5,74.7
FIN,86.4,93.7
FSM,31.5,39.5
GBR,92,95.5
GAB,45.8,68.7
GHA,23,72.2
GMB,17.6,49.5
GNB,6.1,29.8
GNQ,21.3,63.3
GRC,66.8,86.3
GRD,52.5,70.2
GTM,28.8,60.2
GIN,9.2,33.3
GUY,34,83
HKG,84.9,95.8
HND,27.1,58.6
HUN,72.8,93.8
NLD,91.7,97
HRV,69.8,83.6
HTI,14.2,47.9
ITA,58.1,89.2
IND,14.9,64.9
IDN,22.1,72.8
IRL,83.5,97.2
IRN,45.3,85.3
IRQ,15.2,81.5
ISL,98.2,98.2
ISR,77.4,88.2
JPN,91.1,85.5
JAM,42.2,90.1
JOR,54.2,95.6
KEN,16.6,35
KIR,14.9,89.4
KOR,89.9,97.9
KWT,82,99.7
LAO,18.2,65.6
LBN,74,80.6
LBR,10,32.2
LBY,25,82
LCA,57.3,68.2
LIE,96.6,98.3
LSO,25,51.8
LTU,71.4,89.2
LUX,96.4,98.8
LVA,79.2,92.7
MAC,77.6,89.8
MUS,50.1,73.3
MCO,93.4,99
MDG,4.2,18.7
MEX,57.4,83.1
MYS,71.1,98
MDV,54.5,85.2
MLI,10.3,36.8
MLT,76,93.9
MNG,22.5,85.1
MOZ,6.5,20.5
MAR,57.1,91.2
MHL,19.3,65.9
MRT,17.6,45.8
MWI,6,19
NIC,19.7,61.4
NER,2.5,15.6
NGA,22.5,41.2
NAM,25.7,64.9
NOR,96.8,99
NPL,17.6,46.3
NZL,85.2,93.5
OMN,73.5,95.3
PAK,11,57.3
PHL,36.9,67.3
PNG,7.9,18.8
PAN,51.2,72.8
POL,68,88.6
PRT,68.6,88.5
PRY,49.7,81.6
PER,40.9,82
QAT,92.9,98.1
ROU,55.8,91.3
RWA,12.5,31.7
RUS,70.1,94.4
SWE,90.6,95.5
KNA,66.2,76.9
SEN,21.7,60.1
SYC,54.3,87.8
SLB,10,29
SLV,26.8,66.5
SGP,79,94.4
SOM,1.8,27.9
SLE,6.3,25.1
STP,25.8,59.1
CHE,87.5,97.3
SVN,73.1,90.8
SWZ,25.6,63.4
TCD,3.5,12.6
CZE,75.7,87.7
TGO,7.1,39.5
THA,39.3,90.9
TON,38.7,67.4
TTO,65.1,82.2
TUN,46.5,76.5
TUR,53.7,87.3
TZA,10,31.2
ARE,90.5,100
UGA,5.7,8.9
UKR,48.9,82.5
URY,64.6,92
USA,74.6,94.7
UZB,42.8,89.5
VCT,49.4,76.2
VEN,58,76.7
VNM,45,84.2
SRB,65.3,87.7
COD,3.8,19.7
ZMB,8.8,17.1
ZWE,22.7,41.6
MDA,69,77.4
BIH,52.6,86.1
GEO,47.6,83.8
KAZ,70.8,93.4
TJK,19,55.8
KGZ,30.2,92
SVK,77.6,89.8
MKD,70.4,93.6
MNE,68.1,88.9
