iso3c,internet_2023,internet_2015
AFG,17.7,8.3
ALB,83.1,56.9
DZA,76.9,38.2
AND,95.4,87.9
AGO,44.8,22
ATG,77.6,70
ARG,89.2,68
ARM,80,59.1
AUS,97.1,84.6
AUT,95.3,83.9
AZE,89,77
BHS,94.8,78
BHR,100,93.5
BGD,44.5,12.9
BRB,80,72
BLR,91.5,62.2
BEL,94.6,85.1
BLZ,72.4,41.6
BEN,32.2,11.3
BTN,88.4,39.8
BOL,70.2,37.5
BIH,83.4,52.6
BWA,81.4,37.3
BRA,84.2,58.3
BRN,99,71.2
BGR,80.4,56.7
BFA,17,6.6
BDI,11.1,2
CPV,73.5,42.7
KHM,60.7,6.4
CMR,41.9,18.3
CAN,94,90
TCD,13.2,3.5
CHL,94.5,76.6
CHN,90.6,50.3
COL,77.3,55.9
COM,35.7,7.5
COD,30.5,3.8
COG,38.4,7.6
CRI,85.4,59.8
CIV,40.7,38.4
HRV,83.2,69.8
CUB,71.3,37.3
CYP,91.2,71.7
CZE,86,75.7
DNK,98.8,96.3
DJI,65,22.9
DMA,83.8,65
DOM,84.6,54.2
ECU,72.7,48.9
EGY,72.7,37.8
SLV,67.7,26.8
GNQ,60.4,21.3
ERI,20,1.1
EST,93.2,88.4
SWZ,57.6,25.6
FJI,79.3,42.5
FIN,93.5,86.4
FRA,86.8,78
GAB,71.9,45.8
GMB,45.9,17.6
GEO,81.9,47.6
DEU,92.5,87.6
GHA,69.9,23
GRC,85,66.8
GRD,74.1,52.5
GTM,56.1,28.8
GIN,26.5,9.2
GNB,32.5,6.1
GUY,81.7,34
HND,58.3,27.1
HKG,96,84.9
HUN,91.5,72.8
ISL,99.8,98.2
IDN,69.2,22.1
IRN,79.6,45.3
IRQ,81.7,15.2
IRL,96.5,83.5
ISR,87,77.4
ITA,87,58.1
JAM,89.5,42.2
JPN,87,91.1
JOR,92.5,54.2
KAZ,92.9,70.8
KEN,35,16.6
KIR,88,14.9
KOR,97.4,89.9
KWT,99.7,82
KGZ,88.5,30.2
LAO,63.6,18.2
LVA,92.2,79.2
LBN,83.5,74
LSO,48,25
LBR,23.5,10
LIE,97.3,96.6
LTU,88.5,71.4
LUX,99.3,96.4
MAC,89.2,77.6
MDG,20.4,4.2
MWI,18,6
MYS,97.7,71.1
MDV,84.7,54.5
MLI,35.1,10.3
MLT,92.1,76
MHL,65.7,19.3
MRT,37.4,17.6
MUS,79.5,50.1
MEX,81.2,57.4
MDA,80.2,69
MCO,99.1,93.4
MNG,83,22.5
MNE,89.8,68.1
MAR,91,57.1
MOZ,19.8,6.5
MMR,58.5,10.9
NAM,64.4,25.7
NPL,55.8,17.6
NLD,97,91.7
NZL,96.2,85.2
NIC,58.2,19.7
NER,23.2,2.5
NGA,39.2,22.5
MKD,87.2,70.4
NOR,99,96.8
OMN,95.3,73.5
PAK,27.4,11
PAN,68.5,51.2
PNG,24.1,7.9
PRY,78.1,49.7
PER,79.5,40.9
PHL,83.8,36.9
POL,86.4,68
PRT,85.8,68.6
QAT,99.7,92.9
ROU,89.2,55.8
RUS,92.2,70.1
RWA,34.2,12.5
WSM,58.1,25.4
STP,61.5,25.8
SAU,100,69.6
SEN,60.6,21.7
SRB,85.4,65.3
SYC,87.4,54.3
SLE,20.6,6.3
SGP,94.3,79
SVK,87.2,77.6
SVN,90.4,73.1
SLB,42.5,10
ZAF,75.7,51.9
ESP,95.4,78.7
LKA,51.2,15.3
KNA,76.4,66.2
LCA,70.1,57.3
VCT,76,49.4
SUR,78.4,42.8
SWE,95.7,90.6
CHE,97.3,87.5
TJK,56.8,19
TZA,29.1,10
THA,89.5,39.3
TLS,34,18.6
TGO,37,7.1
TON,58.5,38.7
TTO,84.7,65.1
TUN,72.4,46.5
TUR,86,53.7
TUV,74.3,27.3
UGA,15.3,5.8
UKR,82.4,48.9
ARE,100,90.5
GBR,96.3,92
USA,93.1,74.6
URY,89.9,64.6
UZB,89,42.8
VUT,45.7,22.4
VNM,78.1,45
PSE,86.6,56.7
ZMB,33,8.8
ZWE,38.4,22.7
