region,network,year,value
WLD,2G,2004,81.36541985
WLD,2G,2005,79.13006536
WLD,2G,2006,79.41145455
WLD,2G,2007,87.53303704
WLD,2G,2008,92.87859504
WLD,2G,2009,93.84147541
WLD,2G,2010,93.06
WLD,2G,2011,93.55674419
WLD,2G,2012,95.0675
WLD,2G,2013,96.09289474
WLD,2G,2014,95.79356061
WLD,2G,2015,93.63257426
WLD,2G,2016,94.11381443
WLD,2G,2017,94.54172589
WLD,2G,2018,95.75589888
WLD,2G,2019,95.10815534
WLD,2G,2020,95.40757282
WLD,2G,2021,95.79692308
WLD,2G,2022,95.73742991
WLD,2G,2023,97.13172438
WLD,3G,2012,65.43337748
WLD,3G,2013,69.89085714
WLD,3G,2014,67.65222222
WLD,3G,2015,74.61534762
WLD,3G,2016,80.85843902
WLD,3G,2017,84.865
WLD,3G,2018,88.76172414
WLD,3G,2019,88.15802885
WLD,3G,2020,88.99485577
WLD,3G,2021,89.56459479
WLD,3G,2022,90.83169014
WLD,3G,2023,93.74839939
WLD,4G,2014,35.6684472
WLD,4G,2015,42.18387255
WLD,4G,2016,52.66129353
WLD,4G,2017,62.3906701
WLD,4G,2018,72.86490909
WLD,4G,2019,75.1642132
WLD,4G,2020,77.728
WLD,4G,2021,78.47657143
WLD,4G,2022,82.01037915
WLD,4G,2023,87.75573171
WLD,5G,2021,17.35436842
WLD,5G,2022,34.04451128
WLD,5G,2023,43.02715385
