iso3c,coverage_3G,coverage_4G,coverage_5G
ABW,95,64.1,
AFG,67,34,
ZAF,99.78,98.95,41.76
AGO,85.8,76.78,17.26
ALB,99.6,99.6,0
DZA,98.18,90.42,0
AND,99.5,98.5,94
ARG,98.5,97.68,
ARM,100,100,11.1
SAU,100,100,
ATG,99,99,
AUS,99.6,99.6,85
AUT,98,98,96
AZE,100,100,0
BRA,93.39,93.19,62.7
BHS,98,95,0
BDI,53.2,32.18,0
BEL,100,100,87
BEN,85,80,0
BMU,99.85,99.7,
BFA,58.04,39.39,
BGD,98.93,98.93,0
BHR,100,100,100
BLR,99.9,98.4,0
BLZ,98.02,70,
BOL,91.48,74.48,
BWA,98,91,23
BRB,100,99,
MMR,95.44,94.44,0
BRN,99.07,99.04,95.44
BTN,97,97,40
BGR,99.99,99.86,86.3
CAF,59.5959,0.3,
CAN,99.7,99.5,95.85
KHM,93.1,93.1,
CHL,98,96,86
CHN,100,100,94
COL,100,99.8,0
LKA,97,97,0
CMR,75,75,
COG,83.4,77.5,0
COM,94,94,
CPV,94.16,84.7,
CIV,98.1,91.5,0
CRI,95,95,0
CUB,74.57,50.04,0
CYM,100,100,
CYP,100,100,100
DEU,99.96,99.96,95.9
DJI,90,76,0
DMA,100,100,0
DNK,100,100,100
DOM,98.7,97.6,54.9
ESP,99.7,99.7,85.4
EGY,99.8,98,0
ECU,96.27,95.05,0
EST,100,99,87
FRA,99,99,93
FJI,96,92.9,
FIN,99.99,99.99,99.5
FSM,50,30,
GBR,99.9,99.9,85
GAB,98,98,
GHA,99.5,99.3,0
GIB,100,100,100
GMB,88,60,
GNB,53,32,0
GNQ,65,65,0
GRC,99.8,99.8,99
GRD,98.5,98.5,0
GRL,100,100,
GTM,95,92,40
GUY,93.2,50,
HKG,99,99,90
HND,93,91,0
HUN,99.2,99.2,83.7
NLD,99,99,99
HRV,99.79,99.72,97.49
HTI,67.54,35.46,
ITA,100,100,80
IND,98.9,98.8,82
IDN,98.97,98.96,3.73
IRL,99.9,99.8,85
IRN,92,92,3
IRQ,98.2,98.2,0
ISL,99.4,99,95
ISR,99,97,
JPN,99.9,96.6,98.1
JAM,99,99,0
JOR,99.5,99.5,32.5
KEN,98,97,1.2
KIR,75,65,0
KOR,99.9,99.9,94
PRK,94,0,
KWT,100,100,99.9
LAO,85,76,17
LBN,99.61,99.2,
LBR,85.4,80,
LBY,93.5,90,0
LCA,100,96,0
LIE,99,98.33,90
LSO,95.8,85.1,0
LTU,99.99,99.99,98.9
LUX,100,100,99
LVA,99,95,70
MAC,99.8,99.8,95.8
MUS,99,99,50
MCO,100,100,100
MDG,68.16,33.64,6.12
MEX,97.01,96.94,37.13
MYS,97.1,97.1,80.2
MLI,81,81,
MLT,100,100,100
MNG,100,99,
MOZ,85,60,5
MAR,99.7,99.7,0
MHL,,,
MRT,43.9,34.7,
MWI,88.69,74.91,0
NIC,79.37,78.5,0
NCL,97.4,79.5,
NER,24,17.5,
NGA,89.42,84.19,11.8
NAM,89,85,0
NPL,57.17,53.28,
NRU,98,90,
NZL,98.63,97.7,26.77
PYF,90,90,
OMN,100,99,89
PAK,81,81,0
PHL,98.45,95.54,68.98
PAN,95,85,0
POL,100,100,69
PRT,100,100,98.1
PRY,99.61,96.9,0
PER,86.88,81.12,9.89
PRI,100,90,
QAT,100,99.9,98.9
ROU,99.86,98.93,11.75
RWA,99.07,98.76,0
RUS,97,93.1,
SWE,100,100,90.3
KNA,100,100,0
SDN,78.6,35,
SEN,99.5,97.5,
SYC,99,99,
SLB,45,29.54,
SLV,92,76,
ASM,92.67,,
WSM,99,99,
SMR,99,99,
SGP,100,100,98
SOM,80,50,10
SLE,96,75,
STP,96,0,0
CHE,100,100,100
SUR,92,82.59,16.29
SVN,99.8,99.8,70.7
SWZ,99.1,87,0
SYR,98.9,76.3,
TCA,95,95,
TCD,75.4,44.3,0
CZE,99.8,99.8,85.4
TGO,99.7,99.7,
THA,99,99,89
TON,99,96,
TTO,100,94,
TUN,99,96,0
TUR,99.75,99.72,
TUV,59.28,27,
TZA,86,79,0
ARE,100,100,98.92
UGA,86,40,
URY,93.9,93.9,
USA,99.7,99.6,97.4
UZB,96,92,18
VCT,100,90,0
VEN,85,70,0
VIR,80.13,71.01,
VGB,100,100,
VNM,99.85,99.85,0
VUT,90,90,0
YEM,74.6,56.7,0
SRB,99.53,98.77,0
COD,55,45,
ZMB,95.5,91.2,0
ZWE,86.8,44.7,2.65
MDA,99.9,99.3,
BIH,99,99,
GEO,99.9,99.72,0
KAZ,97.7,89.2,38.2
TJK,94.29,80,
TKM,74.69,67,
KGZ,99.5,99.33,0
SVK,99,99,62.6
MKD,99.93,99.85,66.23
ERI,40,0,
FRO,100,100,
GUM,92.67,82.79,
MNP,34.78,10,
TLS,96.5,45,
PSE,58,0,
MNE,97.97,97.97,85.37
XKX,95,84.4,
SSD,18,15,0
SXM,91.01,73.63,
CUW,99,99,0
WLD,93.74839939,87.75573171,43.02715385
ETH,98.53,35,
GIN,77,77,
PLW,95,,
PNG,70,70,
UKR,91,91,
MDV,,,65
NOR,,,83.4
