region_name,region_code,population,income_group,mobile_is_main,lack_of_money
Australia,AUS,21852264,HIC,90,
Austria,AUT,7825678,HIC,82,
Bahrain,BHR,1277545,HIC,94,
Belgium,BEL,9867164,HIC,88,
Canada,CAN,33960981,HIC,84,
Chile,CHL,16241277,HIC,87,
Croatia,HRV,3313982,HIC,86,
Cyprus,CYP,1129055,HIC,90,
Czechia,CZE,9161251,HIC,88,
Denmark,DNK,5003352,HIC,97,
Estonia,EST,1151475,HIC,95,
Finland,FIN,4749954,HIC,92,
France,FRA,56825584,HIC,83,
Germany,DEU,71691113,HIC,85,
Greece,GRC,8991800,HIC,86,
"Hong Kong SAR, China",HKG,6729811,HIC,92,
Hungary,HUN,8202714,HIC,87,
Iceland,ISL,322325,HIC,97,
Ireland,IRL,4298252,HIC,85,
Israel,ISR,7062352,HIC,83,
Italy,ITA,51829051,HIC,90,
Japan,JPN,110011344,HIC,83,
"Korea, Rep.",KOR,46039322,HIC,90,
Kuwait,KWT,3950546,HIC,87,
Latvia,LVA,1582835,HIC,89,
Lithuania,LTU,2444088,HIC,89,
Malta,MLT,480050,HIC,90,
Netherlands,NLD,15164931,HIC,90,
New Zealand,NZL,4263369,HIC,89,
Norway,NOR,4608487,HIC,97,
Oman,OMN,3775451,HIC,89,
Panama,PAN,3331755,HIC,69,
Poland,POL,31148749,HIC,81,
Portugal,PRT,9214262,HIC,86,
Romania,ROU,16033507,HIC,75,
Saudi Arabia,SAU,25248449,HIC,95,
Singapore,SGP,5220107,HIC,93,
Slovak Republic,SVK,4563499,HIC,83,
Slovenia,SVN,1803880,HIC,85,
Spain,ESP,41937630,HIC,92,
Sweden,SWE,8719085,HIC,97,
Switzerland,CHE,7553903,HIC,79,
"Taiwan, China",TWN,20437095,HIC,89,
Trinidad and Tobago,TTO,1120989,HIC,82,
United Kingdom,GBR,56450851,HIC,85,
United States,USA,275987833,HIC,93,
Uruguay,URY,2755004,HIC,91,
Burkina Faso,BFA,13262560,LIC,37,55
Chad,TCD,10289880,LIC,9,27
"Congo, Dem. Rep.",COD,57033055,LIC,21,30
Ethiopia,ETH,78031387,LIC,16,31
"Gambia, The",GMB,1598990,LIC,64,28
Guinea,GIN,8464230,LIC,27,47
Liberia,LBR,3295997,LIC,23,49
Madagascar,MDG,18851036,LIC,9,30
Malawi,MWI,12384937,LIC,14,47
Mali,MLI,12725942,LIC,49,45
Mozambique,MOZ,18581790,LIC,20,38
Niger,NER,13873697,LIC,18,31
Sierra Leone,SLE,5200533,LIC,29,33
Togo,TGO,5593530,LIC,45,50
Uganda,UGA,27277834,LIC,27,56
Zambia,ZMB,12029200,LIC,29,57
Algeria,DZA,32019804,LMC,84,
Bangladesh,BGD,122837439,LMC,38,41
Benin,BEN,8207504,LMC,29,48
Bolivia,BOL,8553476,LMC,70,
Cambodia,KHM,12177453,LMC,77,
Cameroon,CMR,16524096,LMC,42,43
Comoros,COM,532331,LMC,47,28
"Congo, Rep.",COG,3655093,LMC,27,44
Cote d'Ivoire,CIV,18301587,LMC,46,50
"Egypt, Arab Rep.",EGY,77385958,LMC,56,33
El Salvador,SLV,4718943,LMC,73,
Eswatini,SWZ,816208,LMC,49,46
Ghana,GHA,21563813,LMC,54,36
Honduras,HND,7345357,LMC,65,
India,IND,1077731602,LMC,42,20
Indonesia,IDN,211076339,LMC,74,
"Iran, Islamic Rep.",IRN,69914781,LMC,74,
Kenya,KEN,34616135,LMC,55,61
Kyrgyz Republic,KGZ,4780143,LMC,90,
Lao PDR,LAO,5322750,LMC,69,
Lebanon,LBN,4231057,LMC,90,
Lesotho,LSO,1504222,LMC,45,23
Mauritania,MRT,2860979,LMC,57,35
Mongolia,MNG,2344987,LMC,92,
Morocco,MAR,27893979,LMC,67,37
Nepal,NPL,21168213,LMC,57,24
Nicaragua,NIC,4830854,LMC,68,
Nigeria,NGA,133329232,LMC,34,43
Pakistan,PAK,155833628,LMC,32,21
Philippines,PHL,82023644,LMC,69,
Senegal,SEN,11094279,LMC,61,38
Sri Lanka,LKA,17109247,LMC,44,30
Tajikistan,TJK,6596875,LMC,65,
Tanzania,TZA,38155970,LMC,16,53
Tunisia,TUN,9219268,LMC,67,
Ukraine,UKR,32338724,LMC,85,
Uzbekistan,UZB,24646062,LMC,70,
Viet Nam,VNM,76663207,LMC,85,
West Bank and Gaza,PSE,3183655,LMC,87,
Zimbabwe,ZWE,9588258,LMC,50,45
Albania,ALB,2278004,UMC,79,
Argentina,ARG,35433130,UMC,68,
Armenia,ARM,2406318,UMC,83,
Azerbaijan,AZE,7885113,UMC,81,
Belize,BLZ,300138,UMC,80,
Bosnia and Herzegovina,BIH,2764009,UMC,82,
Botswana,BWA,1679590,UMC,45,57
Brazil,BRA,169047814,UMC,72,
Bulgaria,BGR,5509377,UMC,76,
China,CHN,1176678702,UMC,88,
