region_code,region_name,year,value
RUR, Rural,2005,
RUR, Rural,2006,
RUR, Rural,2007,
RUR, Rural,2008,
RUR, Rural,2009,
RUR, Rural,2010,
RUR, Rural,2011,
RUR, Rural,2012,
RUR, Rural,2013,
RUR, Rural,2014,
RUR, Rural,2015,
RUR, Rural,2016,
RUR, Rural,2017,
RUR, Rural,2018,
RUR, Rural,2019,
RUR, Rural,2020,
RUR, Rural,2021,44.4
RUR, Rural,2022,45.4
RUR, Rural,2023,46.2
RUR, Rural,2024,47.5
URB, Urban,2005,
URB, Urban,2006,
URB, Urban,2007,
URB, Urban,2008,
URB, Urban,2009,
URB, Urban,2010,
URB, Urban,2011,
URB, Urban,2012,
URB, Urban,2013,
URB, Urban,2014,
URB, Urban,2015,
URB, Urban,2016,
URB, Urban,2017,
URB, Urban,2018,
URB, Urban,2019,
URB, Urban,2020,
URB, Urban,2021,76.7
URB, Urban,2022,78.3
URB, Urban,2023,80
URB, Urban,2024,82.9
HIC, High-income,2005,53
HIC, High-income,2006,55.8
HIC, High-income,2007,61.4
HIC, High-income,2008,64.1
HIC, High-income,2009,66.5
HIC, High-income,2010,69.1
HIC, High-income,2011,70.5
HIC, High-income,2012,73.8
HIC, High-income,2013,75.2
HIC, High-income,2014,77
HIC, High-income,2015,78.3
HIC, High-income,2016,82.5
HIC, High-income,2017,84.2
HIC, High-income,2018,86.4
HIC, High-income,2019,87.5
HIC, High-income,2020,88.5
HIC, High-income,2021,90
HIC, High-income,2022,91.1
HIC, High-income,2023,92.3
HIC, High-income,2024,93.4
UMC, Upper-middle-income,2005,10.2
UMC, Upper-middle-income,2006,12.5
UMC, Upper-middle-income,2007,16.6
UMC, Upper-middle-income,2008,21.2
UMC, Upper-middle-income,2009,25.8
UMC, Upper-middle-income,2010,30.6
UMC, Upper-middle-income,2011,34.5
UMC, Upper-middle-income,2012,38.3
UMC, Upper-middle-income,2013,41.4
UMC, Upper-middle-income,2014,44.2
UMC, Upper-middle-income,2015,47.9
UMC, Upper-middle-income,2016,51.4
UMC, Upper-middle-income,2017,54.7
UMC, Upper-middle-income,2018,59.5
UMC, Upper-middle-income,2019,64.5
UMC, Upper-middle-income,2020,70.3
UMC, Upper-middle-income,2021,74.1
UMC, Upper-middle-income,2022,76.5
UMC, Upper-middle-income,2023,78.5
UMC, Upper-middle-income,2024,80.7
LMC, Lower-middle-income,2005,3.6
LMC, Lower-middle-income,2006,4.4
LMC, Lower-middle-income,2007,5.6
LMC, Lower-middle-income,2008,6.4
LMC, Lower-middle-income,2009,7.5
LMC, Lower-middle-income,2010,10.1
LMC, Lower-middle-income,2011,12.2
LMC, Lower-middle-income,2012,13.6
LMC, Lower-middle-income,2013,15.2
LMC, Lower-middle-income,2014,17.2
LMC, Lower-middle-income,2015,19.3
LMC, Lower-middle-income,2016,21.8
LMC, Lower-middle-income,2017,24.3
LMC, Lower-middle-income,2018,27.2
LMC, Lower-middle-income,2019,33.4
LMC, Lower-middle-income,2020,42.6
LMC, Lower-middle-income,2021,46.3
LMC, Lower-middle-income,2022,48.5
LMC, Lower-middle-income,2023,50.7
LMC, Lower-middle-income,2024,53.8
LIC, Low-income,2005,1
LIC, Low-income,2006,1.3
LIC, Low-income,2007,2.5
LIC, Low-income,2008,3
LIC, Low-income,2009,3.7
LIC, Low-income,2010,4.3
LIC, Low-income,2011,4.9
LIC, Low-income,2012,5.4
LIC, Low-income,2013,6
LIC, Low-income,2014,6.9
LIC, Low-income,2015,7.9
LIC, Low-income,2016,9.4
LIC, Low-income,2017,11.4
LIC, Low-income,2018,13.8
LIC, Low-income,2019,17.5
LIC, Low-income,2020,18.9
LIC, Low-income,2021,21.7
LIC, Low-income,2022,23.8
LIC, Low-income,2023,25.2
LIC, Low-income,2024,27.2
WLD,World,2005,15.6
WLD,World,2006,17.2
WLD,World,2007,20.2
WLD,World,2008,22.8
WLD,World,2009,25.3
WLD,World,2010,28.4
WLD,World,2011,30.9
WLD,World,2012,33.3
WLD,World,2013,35.3
WLD,World,2014,37.4
WLD,World,2015,39.8
WLD,World,2016,42.8
WLD,World,2017,45.2
WLD,World,2018,48.5
WLD,World,2019,52.9
WLD,World,2020,58.6
WLD,World,2021,61.7
WLD,World,2022,63.7
WLD,World,2023,65.4
WLD,World,2024,67.6
