iso3c,coverage_3G,coverage_4G,coverage_5G
ABW,95,64.1,
AFG,71,37.3,
ZAF,99.8,99.4,50.5
AGO,85.7,77.4,16
ALB,99.6,99.6,24
DZA,99.1,99.1,0
AND,99.5,98.5,94
ARG,98.5,97.7,
ARM,100,100,17.6
SAU,100,100,84
ATG,99,99,
AUS,99.7,89,89
AUT,98,98,98
AZE,100,100,0
BRA,92.7,91.2,63
BHS,98,95,0
BDI,53.2,32.2,0
BEL,100,100,99.8
BEN,85,85,5
BMU,99.8,99.8,99.7
BFA,79.6,63.7,0
BGD,99.7,99.6,0
BHR,100,100,100
BLR,99.9,99,0
BLZ,98,87,
BOL,95,86,
BWA,98,93,47
BRB,100,99,
MMR,95.4,94.5,0
BRN,99.1,99,95.4
BTN,97,97,60
BGR,100,99.8,90.2
CAF,59.6,0.2,
CAN,99.7,99.5,94.3
KHM,93.2,93.2,
CHL,98,96,87
CHN,100,100,96
COL,100,100,2.3
LKA,97.4,97.4,0
CMR,80.5,75.4,
COG,87,77.5,0
COM,94,94,
CPV,95.3,88.5,
CIV,98.3,93.7,0
CRI,95,95,0
CUB,74.7,50.2,0
CYM,100,100,
CYP,100,100,100
DEU,100,100,98
DJI,90,76,0
DMA,100,98.8,0
DNK,100,100,100
DOM,98.7,97.6,61.9
ESP,99.7,99.7,85.4
EGY,99.8,98,0
ECU,96.7,95.9,10.5
EST,100,99,95
ETH,98.8,44,0
FRA,99,99,93
FJI,93,85,0
FIN,100,100,100
FSM,85,85,
GBR,99.9,99.9,85
GAB,98,98,
GHA,99.5,99.3,0
GIB,100,100,100
GMB,92.8,69.9,
GNB,57.5,35.8,0
GNQ,74.4,65,0
GRC,99.9,99.9,99.6
GRD,98.5,98.5,0
GRL,100,100,
GTM,95,92,40
GIN,81.3,77,
GUY,93.2,50,
HKG,99,99,99
HND,93,91,0
HUN,99.2,99.2,83.7
NLD,99,99,99
HRV,99.8,99.7,98
HTI,67.5,35.7,
ITA,100,100,90
IND,99.1,99.1,82.2
IDN,99.2,99.2,8.9
IRL,99.9,99.8,86
IRN,96.8,94.2,8.2
IRQ,99.2,98.5,0
ISL,99.5,99.2,95
ISR,99,99,
JPN,99.9,98.1,96.6
JAM,99,99,0
JOR,99.9,99.9,38.3
KEN,98,97.3,14
KIR,76,62,0
KOR,99.9,99.9,94
PRK,94,0,
KWT,100,100,99.9
LAO,95.6,76,17
LBN,99.6,99.2,
LBR,85.4,80,
LBY,98,90,0
LCA,100,96,0
LIE,99,98.3,90
LSO,95.8,85.1,44.9
LTU,100,100,99.7
LUX,100,100,99
LVA,99,95,70
MAC,99.7,99.7,92.7
MUS,99,99,65
MCO,100,100,100
MDG,69.2,34.6,6.1
MEX,97.4,97.4,45.8
MYS,98.6,98.6,82.4
MDV,100,100,69
MLI,92.4,81,0
MLT,100,100,100
MNG,100,99,
MOZ,86,84,10
MAR,99.3,99.8,0
MRT,78,73,
MWI,89.4,88.9,0
NIC,87.7,79,0
NCL,97.4,79.5,
NER,44,40,
NGA,89.4,84.6,13.3
NAM,89,88,0
NOR,100,100,99.7
NPL,90,86,
NRU,98,79,
NZL,98.6,98.5,40.4
PYF,90,90,
OMN,100,99,89
PAK,81,81,0
PHL,98.7,98.7,72.4
PLW,95,,
PNG,76,76,0
PAN,95,85,0
POL,100,100,91
PRT,100,100,98.7
PRY,99.6,96.9,0
PER,94.3,93.3,27.5
PRI,100,90,
QAT,100,100,99
ROU,99.6,99.1,39.8
RWA,99.8,98.8,0
RUS,97,93,
SWE,100,100,98.2
KNA,100,100,0
SDN,88,54,
SEN,99.5,97.5,
SYC,99,99,
SLB,45,35.2,
SLV,97,80,
ASM,92.7,,
WSM,99,99,
SMR,99,99,
SGP,100,100,95
SOM,83,61,10
SLE,97.2,81.6,
STP,96,96,0
CHE,100,100,100
SUR,100,82.6,16.3
SVN,99.9,99.9,96.7
SWZ,99.1,87,5
SYR,99,75,
TCA,95,95,
TCD,84.5,60,0
CZE,99.8,99.8,98.6
TGO,99.7,99.7,
THA,99,99,95
TON,99,96,
TTO,100,94,
TUN,99,96,0
TUR,99.8,99.7,
TUV,83,31.3,
TZA,91,88,20
ARE,100,100,99.5
UGA,97.8,82,14.9
UKR,95.8,95,
URY,95.4,92.7,18.8
USA,99,99,96
UZB,97,97,18
VCT,100,90,0
VEN,85,70,0
VIR,90,90,
VGB,100,100,
VNM,99.8,99.8,25.5
VUT,90,90,0
YEM,76.3,56.7,0
SRB,99.5,98.8,0
COD,55,45,
ZMB,95.5,91.2,5
ZWE,87.9,51.6,15.9
MDA,99.9,99.4,
BIH,98,98,
GEO,99.9,99.7,0
KAZ,92.2,91.6,45.8
TJK,97.3,84.7,
TKM,90,80,
KGZ,99.6,99.4,0
SVK,99,99,83
MKD,99.9,99.7,97
ERI,77,0,
FRO,100,100,
GUM,92.7,82.8,
MNP,34.8,10,
TLS,96.5,45,
PSE,58,0,0
MNE,98.1,98.1,91.2
XKX,95,84.4,
SSD,18,15,0
SXM,91,73.6,
CUW,99,99,0
