iso3c,year,value
HIC,2005,52.9
HIC,2006,55.7
HIC,2007,61.3
HIC,2008,64
HIC,2009,66.4
HIC,2010,69
HIC,2011,70.4
HIC,2012,73.7
HIC,2013,75.1
HIC,2014,77
HIC,2015,78.3
HIC,2016,82.5
HIC,2017,84.2
HIC,2018,86.3
HIC,2019,87.5
HIC,2020,88.4
HIC,2021,90
HIC,2022,91
HIC,2023,91.9
HIC,2024,93
HIC,2025,94.2
UMC,2005,10.2
UMC,2006,12.5
UMC,2007,16.6
UMC,2008,21.2
UMC,2009,25.8
UMC,2010,30.6
UMC,2011,34.5
UMC,2012,38.3
UMC,2013,41.4
UMC,2014,44.3
UMC,2015,47.9
UMC,2016,53.3
UMC,2017,57.7
UMC,2018,62.2
UMC,2019,67.5
UMC,2020,74.9
UMC,2021,79.4
UMC,2022,82.7
UMC,2023,85.3
UMC,2024,86.9
UMC,2025,88.8
LMC,2005,3.6
LMC,2006,4.4
LMC,2007,5.6
LMC,2008,6.4
LMC,2009,7.5
LMC,2010,10.1
LMC,2011,12.2
LMC,2012,13.6
LMC,2013,15.2
LMC,2014,17.2
LMC,2015,19.5
LMC,2016,21.9
LMC,2017,24.4
LMC,2018,27.2
LMC,2019,33.4
LMC,2020,42.5
LMC,2021,47.4
LMC,2022,52.3
LMC,2023,55.4
LMC,2024,58.9
LMC,2025,62.9
LIC,2005,1
LIC,2006,1.3
LIC,2007,2.5
LIC,2008,3
LIC,2009,3.7
LIC,2010,4.3
LIC,2011,4.9
LIC,2012,5.4
LIC,2013,6
LIC,2014,6.9
LIC,2015,7.9
LIC,2016,10
LIC,2017,11.4
LIC,2018,13.8
LIC,2019,16.4
LIC,2020,17.6
LIC,2021,19
LIC,2022,21.2
LIC,2023,22
LIC,2024,22.5
LIC,2025,23.4
WLD,2005,15.6
WLD,2006,17.2
WLD,2007,20.2
WLD,2008,22.8
WLD,2009,25.3
WLD,2010,28.4
WLD,2011,30.9
WLD,2012,33.3
WLD,2013,35.3
WLD,2014,37.4
WLD,2015,39.9
WLD,2016,43.6
WLD,2017,46.3
WLD,2018,49.4
WLD,2019,53.9
WLD,2020,60.1
WLD,2021,63.8
WLD,2022,67
WLD,2023,69.2
WLD,2024,71.2
WLD,2025,73.6
SSF,2005,2
SSF,2006,2.6
SSF,2007,3.1
SSF,2008,3.6
SSF,2009,4.3
SSF,2010,6
SSF,2011,7.5
SSF,2012,9.2
SSF,2013,11.2
SSF,2014,13.4
SSF,2015,16.2
SSF,2016,18.3
SSF,2017,20
SSF,2018,22
SSF,2019,24.4
SSF,2020,26.7
SSF,2021,29
SSF,2022,31.1
SSF,2023,32.3
SSF,2024,33.6
SSF,2025,35.7
EAS,2005,14.7
EAS,2006,16.6
EAS,2007,20.8
EAS,2008,25.2
EAS,2009,29.5
EAS,2010,34.2
EAS,2011,37.3
EAS,2012,40.4
EAS,2013,43.2
EAS,2014,45.5
EAS,2015,48.3
EAS,2016,53.9
EAS,2017,57.8
EAS,2018,62.5
EAS,2019,67.1
EAS,2020,73.9
EAS,2021,78.8
EAS,2022,82.4
EAS,2023,84.9
EAS,2024,86.6
EAS,2025,88.4
ECS,2005,34.7
ECS,2006,38
ECS,2007,43.6
ECS,2008,48.1
ECS,2009,52.7
ECS,2010,57
ECS,2011,60.2
ECS,2012,63.8
ECS,2013,66.1
ECS,2014,68.9
ECS,2015,69.9
ECS,2016,72.3
ECS,2017,74.5
ECS,2018,78.1
ECS,2019,80.3
ECS,2020,83.4
ECS,2021,86.3
ECS,2022,87.9
ECS,2023,89.6
ECS,2024,90.9
ECS,2025,92.4
LCN,2005,16.6
LCN,2006,20.7
LCN,2007,23.7
LCN,2008,26.4
LCN,2009,31
LCN,2010,34.6
LCN,2011,39.3
LCN,2012,43
LCN,2013,46.1
LCN,2014,48.7
LCN,2015,54.4
LCN,2016,57.5
LCN,2017,60.2
LCN,2018,63.5
LCN,2019,67.8
LCN,2020,73.8
LCN,2021,75.8
LCN,2022,77.1
LCN,2023,80
LCN,2024,81.7
LCN,2025,83.7
MEA,2005,8.3
MEA,2006,9.6
MEA,2007,11.7
MEA,2008,14.1
MEA,2009,16.1
MEA,2010,18.3
MEA,2011,20.1
MEA,2012,22.4
MEA,2013,25.2
MEA,2014,28.7
MEA,2015,31.8
MEA,2016,35
MEA,2017,39.7
MEA,2018,42.3
MEA,2019,46
MEA,2020,50.6
MEA,2021,54.2
MEA,2022,57.8
MEA,2023,59.5
MEA,2024,61.5
MEA,2025,63.7
NAC,2005,68.3
NAC,2006,69.3
NAC,2007,74.8
NAC,2008,74.3
NAC,2009,71.9
NAC,2010,72.5
NAC,2011,71
NAC,2012,75.5
NAC,2013,72.8
NAC,2014,74.4
NAC,2015,76.1
NAC,2016,86.1
NAC,2017,87.8
NAC,2018,89.1
NAC,2019,89.7
NAC,2020,90.5
NAC,2021,91.5
NAC,2022,92.6
NAC,2023,93.3
NAC,2024,94.4
NAC,2025,95.6
SAS,2005,2.1
SAS,2006,2.6
SAS,2007,3.7
SAS,2008,4.1
SAS,2009,4.9
SAS,2010,7.1
SAS,2011,9.4
SAS,2012,10.4
SAS,2013,11.7
SAS,2014,13
SAS,2015,14.7
SAS,2016,16.7
SAS,2017,18.8
SAS,2018,20.9
SAS,2019,29.7
SAS,2020,42.5
SAS,2021,48
SAS,2022,54.2
SAS,2023,58.3
SAS,2024,62.8
SAS,2025,67.8
