iso3c,area,year,value
WLD,urban,2022,80.3
WLD,urban,2023,81.8
WLD,urban,2024,83
WLD,urban,2025,85.4
LIC,urban,2022,36
LIC,urban,2023,36.9
LIC,urban,2024,37.4
LIC,urban,2025,39
LMC,urban,2022,67.5
LMC,urban,2023,70
LMC,urban,2024,72.8
LMC,urban,2025,77
UMC,urban,2022,87.2
UMC,urban,2023,88.7
UMC,urban,2024,89.6
UMC,urban,2025,91.5
HIC,urban,2022,92.9
HIC,urban,2023,93.7
HIC,urban,2024,94.6
HIC,urban,2025,95.7
WLD,rural,2022,50.3
WLD,rural,2023,53.2
WLD,rural,2024,55.8
WLD,rural,2025,58.2
LIC,rural,2022,12.4
LIC,rural,2023,13
LIC,rural,2024,13.2
LIC,rural,2025,13.7
LMC,rural,2022,42.3
LMC,rural,2023,45.6
LMC,rural,2024,49.4
LMC,rural,2025,53.2
UMC,rural,2022,73.4
UMC,rural,2023,78.1
UMC,rural,2024,80.8
UMC,rural,2025,82.6
HIC,rural,2022,85.2
HIC,rural,2023,86.6
HIC,rural,2024,88.4
HIC,rural,2025,89.6
