period,conflict_security,displacement,dry_conditions,economic_shock,flood,social_instability,tropical_cyclone,iso3c,concern,driver_number
Nov 2024 to May 2025,1,1,0,1,1,0,0,MLI,highest,4
Nov 2024 to May 2025,1,0,0,1,1,0,1,MOZ,very_high,4
Nov 2024 to May 2025,1,1,0,1,1,0,0,MMR,very_high,4
Nov 2024 to May 2025,0,0,1,1,1,0,0,NAM,high,3
Nov 2024 to May 2025,0,1,0,1,1,0,0,NER,high,3
Nov 2024 to May 2025,1,1,0,1,1,0,0,NGA,very_high,4
Nov 2024 to May 2025,1,1,0,1,0,0,0,PSE,highest,3
Nov 2024 to May 2025,1,0,1,0,0,0,0,SOM,high,2
Nov 2024 to May 2025,1,1,0,1,1,0,0,SSD,highest,4
Nov 2024 to May 2025,1,1,0,1,1,0,0,SDN,highest,4
Nov 2024 to May 2025,1,1,0,1,0,0,0,SYR,very_high,3
Nov 2024 to May 2025,1,0,1,1,1,0,0,YEM,very_high,4
Nov 2024 to May 2025,0,0,1,1,1,0,0,ZMB,high,3
Nov 2024 to May 2025,0,0,1,1,1,0,1,ZWE,high,4
Jun 2025 to Oct 2025,1,1,0,1,0,0,0,BFA,high,3
Jun 2025 to Oct 2025,0,1,0,1,1,0,0,TCD,high,3
Jun 2025 to Oct 2025,1,1,0,0,0,0,0,COD,very_high,2
Jun 2025 to Oct 2025,1,1,0,1,0,0,0,HTI,highest,3
Jun 2025 to Oct 2025,1,1,0,1,1,0,0,MLI,highest,4
Jun 2025 to Oct 2025,1,1,0,1,0,0,0,MMR,very_high,3
Jun 2025 to Oct 2025,1,1,1,1,1,0,0,NGA,very_high,5
Jun 2025 to Oct 2025,1,1,0,1,0,0,0,PSE,highest,3
Jun 2025 to Oct 2025,1,1,1,1,1,0,0,SOM,high,5
Jun 2025 to Oct 2025,1,1,0,1,1,0,0,SSD,highest,4
Jun 2025 to Oct 2025,1,1,0,1,0,0,0,SDN,highest,3
Jun 2025 to Oct 2025,1,1,1,1,0,0,0,SYR,high,4
Jun 2025 to Oct 2025,1,0,1,1,1,0,0,YEM,very_high,4
