iso3c,date,value
AFG,2023,28.1
AGO,2023,22.5
ALB,2023,5.4
ARE,2023,2.5
ARG,2023,3.4
ARM,2023,2.5
AUS,2023,2.5
AUT,2023,2.5
AZE,2023,2.5
BEL,2023,2.5
BEN,2023,14.3
BFA,2023,13.1
BGD,2023,10.4
BGR,2023,2.5
BIH,2023,2.5
BLR,2023,2.5
BLZ,2023,7
BOL,2023,21.8
BRA,2023,2.5
BRB,2023,4.4
BWA,2023,24
CAF,2023,29.8
CAN,2023,2.5
CHE,2023,2.5
CHL,2023,2.5
CHN,2023,2.5
CIV,2023,11.1
CMR,2023,4.8
COD,2023,38.5
COG,2023,26.4
COL,2023,3.9
COM,2023,15.4
CPV,2023,13.5
CRI,2023,2.5
CYP,2023,2.5
CZE,2023,2.5
DEU,2023,2.5
DJI,2023,12.9
DMA,2023,3.6
DNK,2023,2.5
DOM,2023,3.6
DZA,2023,2.5
ECU,2023,12.1
EGY,2023,9.4
ESP,2023,2.5
EST,2023,2.5
ETH,2023,19.7
FIN,2023,2.5
FJI,2023,6.8
FRA,2023,2.5
GAB,2023,25.3
GBR,2023,2.5
GEO,2023,2.5
GHA,2023,6.3
GIN,2023,11.4
GMB,2023,16.8
GNB,2023,22.1
GRC,2023,2.5
GTM,2023,11.8
GUY,2023,2.5
HKG,2023,3.1
HND,2023,14.8
HRV,2023,2.5
HTI,2023,54.2
HUN,2023,2.5
IDN,2023,6.3
IND,2023,12
IRL,2023,2.5
IRN,2023,6.8
IRQ,2023,14.9
ISL,2023,2.5
ISR,2023,2.5
ITA,2023,2.5
JAM,2023,7.7
JOR,2023,14.3
KAZ,2023,2.5
KEN,2023,36.8
KGZ,2023,5.1
KHM,2023,5.2
KIR,2023,4.1
KOR,2023,2.5
KWT,2023,2.5
LBN,2023,8.7
LBR,2023,35.5
LBY,2023,16.5
LKA,2023,7.4
LTU,2023,2.5
LUX,2023,2.5
LVA,2023,2.5
MAC,2023,11.2
MAR,2023,7
MDA,2023,2.5
MDG,2023,39.5
MEX,2023,2.7
MKD,2023,2.5
MLI,2023,12.3
MLT,2023,2.5
MMR,2023,5.4
MNE,2023,2.5
MNG,2023,2.5
MOZ,2023,21.8
MRT,2023,8.7
MUS,2023,8.7
MWI,2023,21.4
MYS,2023,2.5
NAM,2023,18.1
NCL,2023,4.9
NER,2023,12.9
NGA,2023,19.9
NLD,2023,2.5
NOR,2023,2.5
NPL,2023,5.3
NZL,2023,2.5
OMN,2023,5.9
PAK,2023,16.5
PAN,2023,5.7
PER,2023,6.9
PHL,2023,3
PNG,2023,28.7
POL,2023,2.5
PRT,2023,2.5
PRY,2023,5.2
PYF,2023,3.8
ROU,2023,2.5
RUS,2023,2.5
RWA,2023,24.4
SAU,2023,2.5
SEN,2023,5.1
SLB,2023,20
SLE,2023,24.1
SLV,2023,6.7
SOM,2023,53.2
SRB,2023,2.5
SSD,2023,22.3
STP,2023,17.4
SUR,2023,9.7
SVK,2023,3.1
SVN,2023,2.5
SWE,2023,2.5
SWZ,2023,14.7
SYC,2023,2.5
SYR,2023,39
TCD,2023,32
TGO,2023,9.1
THA,2023,4.6
TJK,2023,8.4
TKM,2023,4.3
TLS,2023,18.7
TTO,2023,11.2
TUN,2023,3
TUR,2023,2.5
TZA,2023,20.2
UGA,2023,22
UKR,2023,6.9
URY,2023,2.5
USA,2023,2.5
UZB,2023,2.5
VCT,2023,6.1
VEN,2023,5.9
VNM,2023,5.3
VUT,2023,7.2
WSM,2023,3.6
ZAF,2023,10
ZMB,2023,37.2
ZWE,2023,19.7
