iso3c,date,value
AFG,2022,30.4
AGO,2022,23.2
ALB,2022,4.5
ARE,2022,2.7
ARG,2022,3.2
ARM,2022,2.5
AUS,2022,2.5
AUT,2022,2.5
AZE,2022,2.5
BEL,2022,2.5
BEN,2022,10.3
BFA,2022,15.4
BGD,2022,11.9
BGR,2022,2.5
BIH,2022,2.5
BLR,2022,2.5
BLZ,2022,4.6
BOL,2022,23
BRA,2022,3.9
BRB,2022,3.5
BWA,2022,24.3
CAF,2022,23.5
CAN,2022,2.5
CHE,2022,2.5
CHL,2022,2.5
CHN,2022,2.5
CIV,2022,9.6
CMR,2022,5.7
COD,2022,37
COG,2022,26.8
COL,2022,4.2
COM,2022,16.9
CPV,2022,12.6
CRI,2022,2.5
CUB,2022,2.5
CYP,2022,2.5
CZE,2022,2.5
DEU,2022,2.5
DJI,2022,12.9
DMA,2022,13.4
DNK,2022,2.5
DOM,2022,4.6
DZA,2022,2.5
ECU,2022,13.9
EGY,2022,8.5
ESP,2022,2.5
EST,2022,2.5
ETH,2022,22.2
FIN,2022,2.5
FJI,2022,7.8
FRA,2022,2.5
GAB,2022,20.1
GBR,2022,2.5
GEO,2022,4
GHA,2022,6.2
GIN,2022,10.3
GMB,2022,20.5
GNB,2022,32.2
GRC,2022,2.5
GTM,2022,12.6
GUY,2022,2.5
HKG,2022,2.5
HND,2022,20.4
HRV,2022,2.5
HTI,2022,50.4
HUN,2022,2.5
IDN,2022,7.2
IND,2022,13.7
IRL,2022,2.5
IRN,2022,6.5
IRQ,2022,16.1
ISL,2022,2.5
ISR,2022,2.5
ITA,2022,2.5
JAM,2022,7.3
JOR,2022,17.9
JPN,2022,3.4
KAZ,2022,2.5
KEN,2022,34.5
KGZ,2022,6.1
KHM,2022,4.6
KIR,2022,3.7
KOR,2022,2.5
KWT,2022,2.5
LAO,2022,5.4
LBN,2022,9.6
LBR,2022,38.4
LBY,2022,11.4
LKA,2022,4.1
LTU,2022,2.5
LUX,2022,2.5
LVA,2022,2.5
MAC,2022,10.7
MAR,2022,6.9
MDA,2022,2.5
MDG,2022,39.7
MEX,2022,3.1
MKD,2022,2.5
MLI,2022,9.6
MLT,2022,2.5
MMR,2022,5.3
MNE,2022,2.5
MNG,2022,2.5
MOZ,2022,24.8
MRT,2022,9.3
MUS,2022,5.9
MWI,2022,19.9
MYS,2022,2.5
NAM,2022,22.2
NCL,2022,5.6
NER,2022,13.3
NGA,2022,18
NIC,2022,19.6
NLD,2022,2.5
NOR,2022,2.5
NPL,2022,5.7
NZL,2022,2.5
OMN,2022,5.7
PAK,2022,20.7
PAN,2022,5.6
PER,2022,7
PHL,2022,5.9
PNG,2022,27.7
POL,2022,2.5
PRT,2022,2.5
PRY,2022,4.5
PYF,2022,5.4
ROU,2022,2.5
RUS,2022,2.5
RWA,2022,31.4
SAU,2022,3
SDN,2022,11.4
SEN,2022,4.6
SLB,2022,19.4
SLE,2022,28.4
SLV,2022,6.8
SOM,2022,51.3
SRB,2022,2.5
SSD,2022,19.6
STP,2022,16.4
SUR,2022,10.1
SVK,2022,3.6
SVN,2022,2.5
SWE,2022,2.5
SWZ,2022,12.4
SYC,2022,2.5
SYR,2022,34
TCD,2022,35.1
TGO,2022,12.8
THA,2022,5.6
TJK,2022,8.7
TKM,2022,4.1
TLS,2022,15.9
TTO,2022,12.6
TUN,2022,3.2
TUR,2022,2.5
TZA,2022,23.8
UGA,2022,36.9
UKR,2022,5.8
URY,2022,2.5
USA,2022,2.5
UZB,2022,2.5
VCT,2022,4.8
VEN,2022,17.6
VNM,2022,5.2
VUT,2022,7.9
WSM,2022,5.4
YEM,2022,39.5
ZAF,2022,8.1
ZMB,2022,35.4
ZWE,2022,38.1
