iso3c,date,value
WLD,2001,13
WLD,2002,13
WLD,2003,12.9
WLD,2004,12.6
WLD,2005,12
WLD,2006,11.2
WLD,2007,10.3
WLD,2008,9.6
WLD,2009,9.1
WLD,2010,8.7
WLD,2011,8.3
WLD,2012,8
WLD,2013,7.7
WLD,2014,7.6
WLD,2015,7.5
WLD,2016,7.5
WLD,2017,7.3
WLD,2018,7.3
WLD,2019,7.8
WLD,2020,8.3
WLD,2021,8.9
WLD,2022,9.1
EAS,2001,12.25
EAS,2002,11.71
EAS,2003,10.97
EAS,2004,10.35
EAS,2005,9.65
EAS,2006,8.87
EAS,2007,7.97
EAS,2008,7.05
EAS,2009,6.15
EAS,2010,5.62
EAS,2011,5.29
EAS,2012,5.03
EAS,2013,4.79
EAS,2014,4.66
EAS,2015,4.47
EAS,2016,4.31
EAS,2017,4.14
EAS,2018,4.03
EAS,2019,3.55
EAS,2020,3.56
EAS,2021,3.64
EAS,2022,3.71
ECS,2001,4.23
ECS,2002,4.11
ECS,2003,4
ECS,2004,3.8
ECS,2005,3.61
ECS,2006,3.38
ECS,2007,3.2
ECS,2008,3.07
ECS,2009,2.97
ECS,2010,2.88
ECS,2011,2.83
ECS,2012,2.79
ECS,2013,2.77
ECS,2014,2.74
ECS,2015,2.72
ECS,2016,2.7
ECS,2017,2.67
ECS,2018,2.66
ECS,2019,2.68
ECS,2020,2.71
ECS,2021,2.76
ECS,2022,2.77
LCN,2001,10.37
LCN,2002,10.12
LCN,2003,9.9
LCN,2004,9.4
LCN,2005,8.95
LCN,2006,8.43
LCN,2007,7.93
LCN,2008,7.55
LCN,2009,6.98
LCN,2010,6.47
LCN,2011,5.93
LCN,2012,5.65
LCN,2013,5.4
LCN,2014,5.26
LCN,2015,5.52
LCN,2016,5.78
LCN,2017,6.11
LCN,2018,6.03
LCN,2019,6.12
LCN,2020,6.4
LCN,2021,6.74
LCN,2022,6.61
MEA,2001,13.5
MEA,2002,13.65
MEA,2003,13.21
MEA,2004,12.5
MEA,2005,11.89
MEA,2006,11.33
MEA,2007,10.92
MEA,2008,10.69
MEA,2009,10.52
MEA,2010,10.53
MEA,2011,10.49
MEA,2012,10.66
MEA,2013,10.33
MEA,2014,10.31
MEA,2015,10.34
MEA,2016,10.51
MEA,2017,10.65
MEA,2018,10.84
MEA,2019,11.7
MEA,2020,12.85
MEA,2021,14.26
MEA,2022,15.2
NAC,2001,2.5
NAC,2002,2.5
NAC,2003,2.5
NAC,2004,2.5
NAC,2005,2.5
NAC,2006,2.5
NAC,2007,2.5
NAC,2008,2.5
NAC,2009,2.5
NAC,2010,2.5
NAC,2011,2.5
NAC,2012,2.5
NAC,2013,2.5
NAC,2014,2.5
NAC,2015,2.5
NAC,2016,2.5
NAC,2017,2.5
NAC,2018,2.5
NAC,2019,2.5
NAC,2020,2.5
NAC,2021,2.5
NAC,2022,2.5
SAS,2001,18.08
SAS,2002,19.32
SAS,2003,20.62
SAS,2004,20.93
SAS,2005,20.38
SAS,2006,18.41
SAS,2007,16.32
SAS,2008,15.2
SAS,2009,15.07
SAS,2010,14.7
SAS,2011,14.34
SAS,2012,13.6
SAS,2013,13.02
SAS,2014,12.67
SAS,2015,12.28
SAS,2016,11.6
SAS,2017,10.65
SAS,2018,10.38
SAS,2019,11.41
SAS,2020,12.74
SAS,2021,13.49
SAS,2022,13.24
SSF,2001,25.91
SSF,2002,25.38
SSF,2003,24.84
SSF,2004,23.98
SSF,2005,22.84
SSF,2006,21.81
SSF,2007,20.91
SSF,2008,20.22
SSF,2009,19.26
SSF,2010,18.53
SSF,2011,17.96
SSF,2012,17.83
SSF,2013,17.47
SSF,2014,17.69
SSF,2015,18.17
SSF,2016,18.6
SSF,2017,18.97
SSF,2018,19.19
SSF,2019,19.97
SSF,2020,20.76
SSF,2021,21.63
SSF,2022,22.14
