iso3c,date,value
WLD,1950,59.3
WLD,1951,58.6
WLD,1952,58.1
WLD,1953,57.5
WLD,1954,57.2
WLD,1955,56.9
WLD,1956,56.6
WLD,1957,56.5
WLD,1958,56.2
WLD,1959,55.9
WLD,1960,55.1
WLD,1961,54.6
WLD,1962,54.3
WLD,1963,53.7
WLD,1964,53.1
WLD,1965,53.3
WLD,1966,53.3
WLD,1967,53.1
WLD,1968,53
WLD,1969,52.3
WLD,1970,51.5
WLD,1971,51.4
WLD,1972,51.6
WLD,1973,51
WLD,1974,50.9
WLD,1975,50.4
WLD,1976,50.1
WLD,1977,49.4
WLD,1978,48.8
WLD,1979,48.8
WLD,1980,48.2
WLD,1981,47.9
WLD,1982,47.7
WLD,1983,47.5
WLD,1984,46.8
WLD,1985,46
WLD,1986,45
WLD,1987,44.6
WLD,1988,43.4
WLD,1989,42.6
WLD,1990,42.1
WLD,1991,41.7
WLD,1992,40.7
WLD,1993,39.9
WLD,1994,38.4
WLD,1995,36.8
WLD,1996,35.3
WLD,1997,35.1
WLD,1998,35.5
WLD,1999,34.4
WLD,2000,33.2
WLD,2001,32
WLD,2002,30.8
WLD,2003,29.2
WLD,2004,27.2
WLD,2005,25.2
WLD,2006,23.9
WLD,2007,22.3
WLD,2008,21.4
WLD,2009,20.4
WLD,2010,18.9
WLD,2011,17.2
WLD,2012,16
WLD,2013,15
WLD,2014,14
WLD,2015,13
WLD,2016,12.2
WLD,2017,11.6
WLD,2018,11
WLD,2019,10.7
WLD,2020,11.3
WLD,2021,11.1
WLD,2022,10.7
WLD,2023,10.4
WLD,2024,10.2
WLD,2025,10.1
EAS,1950,88.6
ECS,1950,17
LCN,1950,48.1
MEA,1950,65.8
NAC,1950,1.3
SAS,1950,81.8
SSF,1950,68.9
EAS,1951,87.7
ECS,1951,15.6
LCN,1951,47.4
MEA,1951,65.8
NAC,1951,1.1
SAS,1951,81.7
SSF,1951,67.9
EAS,1952,87
ECS,1952,15.1
LCN,1952,46.6
MEA,1952,65.1
NAC,1952,1.1
SAS,1952,81.3
SSF,1952,67.2
EAS,1953,86.2
