iso3c,year_multidimensional,multidimensional_national,monetary_international_multidimensional
BDI,2013,64.8,74.9
HND,2013,74.2,20.8
GTM,2014,61.62,8
MAR,2014,8.2,3.6
MOZ,2014,53,74.8
GNB,2014,57.8,42.6
AGO,2015,54,35.6
NAM,2015,43.3,24.2
PSE,2016,24,1.3
MDV,2016,28.4,0
ZAF,2016,7,26
BTN,2017,5.8,0
CHL,2017,20.7,0.5
SLV,2017,38.9,4.6
PAN,2017,19.1,4.3
XKX,2018,56.7,20.7
LAO,2018,22,15.9
SYC,2018,31.99,0.7
SUR,2018,17.4,1.1
WSM,2018,24.9,3.2
LKA,2019,16,2.7
DOM,2019,16.4,1
IND,2019,14.96,8.2
MWI,2019,58.8,75.4
NPL,2019,17.4,3.1
PAK,2019,30.5,17.5
UGA,2019,42.1,59.4
ISL,2020,11.7,0.1
PRY,2020,24.93,3.6
MKD,2020,39.8,4.1
ALB,2021,46.6,5.5
MLI,2021,34.7,36.1
NGA,2021,62.9,40.9
THA,2021,11.62,0
TON,2021,24,0.5
MEX,2022,36.3,2.3
MNE,2022,34.1,2.2
RWA,2022,30.4,44.2
EGY,2022,21.2,1.3
AUT,2023,17.7,0.5
ARM,2023,17.3,1
COL,2023,12.1,8.6
HRV,2023,20.7,0.3
CYP,2023,16.7,0
FRA,2023,20.4,0.1
GHA,2023,41.3,34.5
GRC,2023,26.1,0.6
HUN,2023,19.7,0.7
IRL,2023,19.2,0.1
KGZ,2023,43.6,2.7
LTU,2023,24.3,1.1
MLT,2023,19.8,0.4
NOR,2023,15.8,0.2
POL,2023,16.3,0.2
ROU,2023,32,0.7
SRB,2023,30.7,1.1
SVK,2023,17.6,0.4
TUR,2023,30.7,0.2
BEL,2024,18.2,0.1
BLZ,2024,22.1,0.6
BGR,2024,30.3,1
CRI,2024,13.1,1.3
CZE,2024,11.3,0
DNK,2024,18,0.3
ECU,2024,40.8,7.3
EST,2024,22.2,0.3
FIN,2024,16.8,0.2
DEU,2024,20.9,0.7
ITA,2024,23.1,0.9
LVA,2024,24.3,0.5
LUX,2024,20,0.1
NLD,2024,15.4,0.1
SVN,2024,14.4,0
ESP,2024,25.8,0.8
SWE,2024,17.5,0.8
URY,2024,18.9,0.2
